step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated
135.0,74,5377.0,70.75,0.323611065275625,74,5377.0,0.024998292580367124,74,5377.0,False
140.0,75,5748.0,75.63157894736842,0.00212972384364925,75,5748.0,0.00017240597255335912,75,5748.0,False
145.0,76,6128.0,74.73170731707317,1.028430487804878,76,6128.0,0.07317073170731707,76,6128.0,False
150.0,76,6508.0,77.47619047619048,0.8480099208358699,76,6508.0,0.05844242455134015,76,6508.0,False
155.0,81,6902.0,82.16666666666667,0.2956556266933996,81,6902.0,0.02246786861030888,81,6902.0,False
160.0,82,7312.0,85.02325581395348,0.4739587055974448,82,7312.0,0.01672716429297872,82,7312.0,False
165.0,84,7728.0,89.86046511627907,0.29845373536775965,84,7728.0,7.98361729741577e-06,84,7728.0,False
170.0,84,8148.0,94.74418604651163,0.2676389150410847,84,8148.0,0.02189378754962853,84,8148.0,False
175.0,86,8570.0,99.65116279069767,0.0014927186651987883,86,8570.0,0.00012166356301734424,86,8570.0,False
180.0,86,9000.0,104.65116279069767,0.0,86,9000.0,0.0,86,9000.0,False
185.0,86,9430.0,102.5,0.4854626804529646,86,9430.0,0.03522016456139752,86,9430.0,False
190.0,92,9877.0,107.3586956521739,0.0004775977136681561,92,9877.0,3.5968082949982276e-05,92,9877.0,False
195.0,92,10337.0,109.96808510638297,0.08848959770376669,92,10337.0,0.006772393623540591,92,10337.0,False
200.0,94,10803.0,114.92553191489361,9.436331552829603e-05,94,10803.0,7.094154810429888e-06,94,10803.0,False
205.0,94,11273.0,117.42708333333333,0.10865976500686603,94,11273.0,0.008219041791478572,94,11273.0,False
210.0,96,11748.0,122.375,3.585536496859103e-05,96,11748.0,2.6323300164109467e-06,96,11748.0,False
215.0,96,12228.0,127.375,0.0,96,12228.0,0.0,96,12228.0,False
220.0,96,12708.0,124.58823529411765,0.699052519585145,96,12708.0,0.04642761804212224,96,12708.0,False
225.0,98,13191.0,129.3235294117647,0.29688859393434985,98,13191.0,0.019240198727513008,98,13191.0,False
230.0,100,13689.0,134.2058823529412,0.28766779315226393,100,13689.0,7.118637501400202e-07,100,13689.0,False
235.0,100,14189.0,139.1078431372549,0.2994253782376395,100,14189.0,0.0,100,14189.0,False
240.0,100,14689.0,146.89,1.651368394762363e-06,100,14689.0,1.1729043502574794e-07,100,14689.0,False
245.0,100,15189.0,151.89,0.0,100,15189.0,0.0,100,15189.0,False
250.0,100,15689.0,156.89,0.0,100,15689.0,0.0,100,15689.0,False
255.0,100,16189.0,155.66346153846155,0.3675852030015946,100,16189.0,0.02843347531562014,100,16189.0,False
260.0,104,16697.0,160.54807692307693,0.0014023211103562526,104,16697.0,0.00011773020080127768,104,16697.0,False
265.0,104,17217.0,165.54807692307693,5.792956896473849e-06,104,17217.0,4.865753794239978e-07,104,17217.0,False
270.0,104,17737.0,170.54807692307693,0.0,104,17737.0,0.0,104,17737.0,False
275.0,104,18257.0,175.54807692307693,0.0,104,18257.0,0.0,104,18257.0,False
280.0,104,18777.0,180.54807692307693,0.0,104,18777.0,0.0,104,18777.0,False
285.0,104,19297.0,185.54807692307693,0.0,104,19297.0,0.0,104,19297.0,False
290.0,104,19817.0,180.15454545454546,0.4766774099832254,104,19817.0,0.03572436344433875,104,19817.0,False
295.0,108,20345.0,184.95454545454547,0.2275717406524014,108,20345.0,0.01743710877409967,108,20345.0,False
300.0,108,20885.0,189.86363636363637,0.23569346283334225,108,20885.0,0.009152724760996317,108,20885.0,False
305.0,108,21425.0,194.77272727272728,0.23009768277940426,108,21425.0,0.0,108,21425.0,False
310.0,108,21965.0,199.6818181818182,0.22351099000422794,108,21965.0,0.0,108,21965.0,False
315.0,108,22505.0,208.37962962962962,0.0,108,22505.0,0.0,108,22505.0,False
320.0,108,23045.0,213.37962962962962,0.0,108,23045.0,0.0,108,23045.0,False
325.0,108,23585.0,218.37962962962962,0.0,108,23585.0,0.0,108,23585.0,False
330.0,108,24125.0,223.37962962962962,0.0,108,24125.0,0.0,108,24125.0,False
335.0,108,24665.0,228.37962962962962,0.0,108,24665.0,0.0,108,24665.0,False
340.0,108,25205.0,233.37962962962962,0.0,108,25205.0,0.0,108,25205.0,False
345.0,108,25745.0,238.37962962962962,0.0,108,25745.0,0.0,108,25745.0,False
350.0,108,26285.0,243.37962962962962,0.0,108,26285.0,0.0,108,26285.0,False
355.0,108,26825.0,248.37962962962962,0.0,108,26825.0,0.0,108,26825.0,False
360.0,108,27365.0,253.37962962962962,0.0,108,27365.0,0.0,108,27365.0,False
365.0,108,27905.0,253.6818181818182,0.2626945401431624,108,27905.0,0.017040339496715302,108,27905.0,False
370.0,108,28445.0,258.59090909090907,0.2684905369380628,108,28445.0,0.008820895647461526,108,28445.0,False
375.0,108,28985.0,263.5,0.2674460736791065,108,28985.0,0.0,108,28985.0,False
380.0,108,29525.0,268.40909090909093,0.27004079384452107,108,29525.0,0.0,108,29525.0,False
385.0,108,30065.0,278.3796296296296,0.0,108,30065.0,0.0,108,30065.0,False
390.0,108,30605.0,283.3796296296296,0.0,108,30605.0,0.0,108,30605.0,False
395.0,108,31145.0,288.3796296296296,0.0,108,31145.0,0.0,108,31145.0,False
400.0,108,31685.0,293.3796296296296,0.0,108,31685.0,0.0,108,31685.0,False
405.0,108,32225.0,298.3796296296296,0.0,108,32225.0,0.0,108,32225.0,False
410.0,108,32765.0,303.3796296296296,0.0,108,32765.0,0.0,108,32765.0,False
415.0,108,33305.0,308.3796296296296,0.0,108,33305.0,0.0,108,33305.0,False
420.0,108,33845.0,313.3796296296296,0.0,108,33845.0,0.0,108,33845.0,False
425.0,108,34385.0,318.3796296296296,0.0,108,34385.0,0.0,108,34385.0,False
430.0,108,34925.0,323.3796296296296,0.0,108,34925.0,0.0,108,34925.0,False
435.0,108,35465.0,322.40909090909093,0.24661625795520473,108,35465.0,0.017436281485414703,108,35465.0,False
440.0,108,36005.0,327.3181818181818,0.24491255949493804,108,36005.0,0.01731306182821746,108,36005.0,False
445.0,108,36545.0,332.22727272727275,0.24315108599722354,108,36545.0,0.0,108,36545.0,False
450.0,108,37085.0,337.1363636363636,0.23610024337814578,108,37085.0,0.0,108,37085.0,False
455.0,108,37625.0,345.1834862385321,0.11742491036591658,108,37625.0,0.0,108,37625.0,False
460.0,108,38165.0,353.3796296296296,0.0,108,38165.0,0.0,108,38165.0,False
465.0,108,38705.0,358.3796296296296,0.0,108,38705.0,0.0,108,38705.0,False
470.0,108,39245.0,363.3796296296296,0.0,108,39245.0,0.0,108,39245.0,False
475.0,108,39785.0,368.3796296296296,0.0,108,39785.0,0.0,108,39785.0,False
480.0,108,40325.0,373.3796296296296,0.0,108,40325.0,0.0,108,40325.0,False
