step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,13.589002722137037,0,0.0,0.9258843861756051,0,0.0,False,,
10.0,0,0.0,0.0,11.76500900283371,0,0.0,0.8014911358785586,0,0.0,False,,
15.0,5,8.0,0.4444444444444444,6.949476326947733,5,8.0,0.39198157545507656,5,8.0,False,,
20.0,8,45.0,2.6470588235294117,6.992760456920954,8,45.0,0.398884454312745,8,45.0,False,,
25.0,10,88.0,4.4,3.8781338159761964,10,88.0,0.26044193404496085,10,88.0,False,,
30.0,14,156.0,7.8,3.522082306807801,14,156.0,0.26271900790272923,14,156.0,False,,
35.0,16,230.0,9.583333333333334,2.7169175039331415,16,230.0,0.19619151259911216,16,230.0,False,,
40.0,20,325.0,10.833333333333334,3.49545895087501,20,325.0,0.24271205511408586,20,325.0,False,,
45.0,24,437.0,12.852941176470589,3.2454269608632824,24,437.0,0.23383421078397293,24,437.0,False,,
50.0,28,563.0,15.63888888888889,1.6624456674479378,28,563.0,0.12368049845476688,28,563.0,False,,
55.0,33,722.0,18.05,1.9108083239192386,33,722.0,0.13257781488132275,33,722.0,False,,
60.0,35,894.0,22.35,0.26066928882331963,35,894.0,0.018627129692776686,35,894.0,False,,
65.0,40,1086.0,23.608695652173914,1.530059310767858,40,1086.0,0.11044092645277799,40,1086.0,False,,
70.0,42,1289.0,28.02173913043478,0.1428359929071944,42,1289.0,0.011119290699564464,42,1289.0,False,,
75.0,46,1514.0,26.103448275862068,2.6340436166630132,46,1514.0,0.190274049158728,46,1514.0,False,,
80.0,47,1745.0,30.086206896551722,1.446617624787149,47,1745.0,0.10846436040274166,47,1745.0,False,,
85.0,54,2003.0,31.296875,1.4476465959564144,54,2003.0,0.08706585114785381,54,2003.0,False,,
90.0,59,2287.0,35.734375,0.7501463706899916,59,2287.0,0.024526942854537135,59,2287.0,False,,
95.0,62,2592.0,39.87692307692308,0.29647020234680227,62,2592.0,0.009690222759123587,62,2592.0,False,,
100.0,64,2909.0,44.07575757575758,0.40743578251879586,64,2909.0,0.028621401915289824,64,2909.0,False,,
105.0,64,3229.0,48.92424242424242,0.010392490137010036,64,3229.0,0.000783238162474777,64,3229.0,False,,
110.0,66,3558.0,49.416666666666664,0.9527486635191441,66,3558.0,0.0715059264590532,66,3558.0,False,,
115.0,66,3888.0,54.0,0.8372206963306265,66,3888.0,0.062254770492799566,66,3888.0,False,,
120.0,70,4229.0,58.736111111111114,0.019970438857385198,70,4229.0,0.0014307246133860203,70,4229.0,False,,
125.0,72,4586.0,61.972972972972975,0.2754013543115936,72,4586.0,0.01981859230653649,72,4586.0,False,,
130.0,74,4950.0,66.89189189189189,3.2549081529333552e-06,74,4950.0,2.427368362140306e-07,74,4950.0,False,,
135.0,74,5320.0,70.0,0.3726213818838212,74,5320.0,0.025782671039353312,74,5320.0,False,,
140.0,76,5692.0,74.89473684210526,0.000855843745698929,76,5692.0,6.0251098165361456e-05,76,5692.0,False,,
145.0,76,6072.0,74.04878048780488,0.9589304878048781,76,6072.0,0.07317073170731707,76,6072.0,False,,
150.0,76,6452.0,76.80952380952381,0.8780118240916851,76,6452.0,0.06561665270288944,76,6452.0,False,,
155.0,80,6844.0,81.47619047619048,0.29610778036264246,80,6844.0,0.02307450873775549,80,6844.0,False,,
160.0,82,7254.0,84.34883720930233,0.4581431265568442,82,7254.0,0.013891772219887825,82,7254.0,False,,
165.0,84,7669.0,89.17441860465117,0.28095606224522063,84,7669.0,2.2238661072636568e-06,84,7669.0,False,,
170.0,84,8089.0,92.97701149425288,0.44133976107276124,84,8089.0,0.021564152379026248,84,8089.0,False,,
175.0,86,8512.0,98.97674418604652,0.0002300431386927792,86,8512.0,1.581553012858602e-05,86,8512.0,False,,
180.0,86,8942.0,103.97674418604652,0.0,86,8942.0,0.0,86,8942.0,False,,
185.0,87,9373.0,101.8804347826087,0.46670183255303044,87,9373.0,0.035921997001463514,87,9373.0,False,,
190.0,90,9817.0,106.70652173913044,0.007566281962065583,90,9817.0,0.0005892577656399532,90,9817.0,False,,
195.0,92,10276.0,109.31914893617021,0.08988858766233236,92,10276.0,0.00655270560775041,92,10276.0,False,,
200.0,94,10741.0,114.26595744680851,2.263370563362489e-05,94,10741.0,1.6458881635308662e-06,94,10741.0,False,,
205.0,94,11211.0,116.78125,0.10866192436559692,94,11211.0,0.007518821466086839,94,11211.0,False,,
210.0,96,11683.0,121.69791666666667,0.0005745079567753444,96,11683.0,4.152780384415223e-05,96,11683.0,False,,
215.0,96,12163.0,126.69791666666667,0.0,96,12163.0,0.0,96,12163.0,False,,
220.0,96,12643.0,123.95098039215686,0.6719707129297398,96,12643.0,0.047717763974182995,96,12643.0,False,,
225.0,100,13129.0,128.7156862745098,0.2719643986268317,100,13129.0,0.019335915371830503,100,13129.0,False,,
230.0,100,13629.0,133.61764705882354,0.2630080694390373,100,13629.0,0.0,100,13629.0,False,,
235.0,100,14129.0,138.51960784313727,0.26211750677235685,100,14129.0,0.0,100,14129.0,False,,
240.0,100,14629.0,146.29,0.0,100,14629.0,0.0,100,14629.0,False,,
245.0,100,15129.0,151.29,0.0,100,15129.0,0.0,100,15129.0,False,,
250.0,100,15629.0,156.29,0.0,100,15629.0,0.0,100,15629.0,False,,
255.0,100,16129.0,155.08653846153845,0.34769103540912083,100,16129.0,0.024009600874638343,100,16129.0,False,,
260.0,104,16635.0,159.95192307692307,0.0019015008401889594,104,16635.0,0.0001439961219420823,104,16635.0,False,,
265.0,104,17155.0,164.95192307692307,0.0,104,17155.0,0.0,104,17155.0,False,,
270.0,104,17675.0,169.95192307692307,0.0,104,17675.0,0.0,104,17675.0,False,,
275.0,104,18195.0,174.95192307692307,0.0,104,18195.0,0.0,104,18195.0,False,,
280.0,104,18715.0,179.95192307692307,0.0,104,18715.0,0.0,104,18715.0,False,,
285.0,104,19235.0,184.95192307692307,0.0,104,19235.0,0.0,104,19235.0,False,,
290.0,104,19755.0,179.5909090909091,0.49814517674769915,104,19755.0,0.033569906854504936,104,19755.0,False,,
295.0,106,20279.0,184.35454545454544,0.25423337797938234,106,20279.0,0.01736105860606231,106,20279.0,False,,
300.0,108,20819.0,189.26363636363635,0.2543157099452572,108,20819.0,5.40611521010167e-07,108,20819.0,False,,
305.0,108,21359.0,194.1727272727273,0.25192655713587525,108,21359.0,0.0,108,21359.0,False,,
310.0,108,21899.0,200.90825688073394,0.126550428745182,108,21899.0,0.0,108,21899.0,False,,
315.0,108,22439.0,207.7685185185185,0.0,108,22439.0,0.0,108,22439.0,False,,
320.0,108,22979.0,212.7685185185185,0.0,108,22979.0,0.0,108,22979.0,False,,
325.0,108,23519.0,217.7685185185185,0.0,108,23519.0,0.0,108,23519.0,False,,
330.0,108,24059.0,222.7685185185185,0.0,108,24059.0,0.0,108,24059.0,False,,
335.0,108,24599.0,227.7685185185185,0.0,108,24599.0,0.0,108,24599.0,False,,
340.0,108,25139.0,232.7685185185185,0.0,108,25139.0,0.0,108,25139.0,False,,
345.0,108,25679.0,237.7685185185185,0.0,108,25679.0,0.0,108,25679.0,False,,
350.0,108,26219.0,242.7685185185185,0.0,108,26219.0,0.0,108,26219.0,False,,
355.0,108,26759.0,247.7685185185185,0.0,108,26759.0,0.0,108,26759.0,False,,
360.0,108,27299.0,252.7685185185185,0.0,108,27299.0,0.0,108,27299.0,False,,
365.0,108,27839.0,253.0818181818182,0.22052744352879103,108,27839.0,0.017669388310069735,108,27839.0,False,,
370.0,108,28379.0,257.9909090909091,0.20556933551038464,108,28379.0,0.01647377541994085,108,28379.0,False,,
375.0,108,28919.0,262.9,0.21587222911445186,108,28919.0,0.0,108,28919.0,False,,
380.0,108,29459.0,267.8090909090909,0.2250150584574088,108,29459.0,0.0,108,29459.0,False,,
385.0,108,29999.0,272.7181818181818,0.21133750689561157,108,29999.0,0.0,108,29999.0,False,,
390.0,108,30539.0,282.76851851851853,0.0,108,30539.0,0.0,108,30539.0,False,,
395.0,108,31079.0,287.76851851851853,0.0,108,31079.0,0.0,108,31079.0,False,,
400.0,108,31619.0,292.76851851851853,0.0,108,31619.0,0.0,108,31619.0,False,,
405.0,108,32159.0,297.76851851851853,0.0,108,32159.0,0.0,108,32159.0,False,,
410.0,108,32699.0,302.76851851851853,0.0,108,32699.0,0.0,108,32699.0,False,,
415.0,108,33239.0,307.76851851851853,0.0,108,33239.0,0.0,108,33239.0,False,,
420.0,108,33779.0,312.76851851851853,0.0,108,33779.0,0.0,108,33779.0,False,,
425.0,108,34319.0,317.76851851851853,0.0,108,34319.0,0.0,108,34319.0,False,,
430.0,108,34859.0,322.76851851851853,0.0,108,34859.0,0.0,108,34859.0,False,,
435.0,108,35399.0,321.8090909090909,0.24592480105221473,108,35399.0,0.017648157132260988,108,35399.0,False,,
440.0,108,35939.0,326.7181818181818,0.25063571974191173,108,35939.0,0.017954777628805273,108,35939.0,False,,
445.0,108,36479.0,331.6272727272727,0.2450013217471848,108,36479.0,0.0,108,36479.0,False,,
450.0,108,37019.0,336.53636363636366,0.24812904342311046,108,37019.0,0.0,108,37019.0,False,,
455.0,108,37559.0,344.57798165137615,0.10531818501429753,108,37559.0,0.0,108,37559.0,False,,
460.0,108,38099.0,352.76851851851853,0.0,108,38099.0,0.0,108,38099.0,False,,
465.0,108,38639.0,357.76851851851853,0.0,108,38639.0,0.0,108,38639.0,False,,
470.0,108,39179.0,362.76851851851853,0.0,108,39179.0,0.0,108,39179.0,False,,
475.0,108,39719.0,367.76851851851853,0.0,108,39719.0,0.0,108,39719.0,False,,
480.0,108,40259.0,372.76851851851853,0.0,108,40259.0,0.0,108,40259.0,False,,
485.0,108,40799.0,377.76851851851853,0.0,108,40799.0,0.0,108,40799.0,False,,
490.0,108,41339.0,382.76851851851853,0.0,108,41339.0,0.0,108,41339.0,False,,
495.0,108,41879.0,387.76851851851853,0.0,108,41879.0,0.0,108,41879.0,False,,
500.0,108,42419.0,392.76851851851853,0.0,108,42419.0,0.0,108,42419.0,False,,
505.0,108,42959.0,390.53636363636366,0.24456418181818182,108,42959.0,0.01818181818181818,108,42959.0,False,,
510.0,108,43499.0,395.44545454545454,0.23728558102819425,108,43499.0,0.017655594841526043,108,43499.0,False,,
515.0,108,44039.0,400.3545454545455,0.2263186062168198,108,44039.0,0.016817823257901172,108,44039.0,False,,
520.0,108,44579.0,405.26363636363635,0.23033177775188976,108,44579.0,0.0,108,44579.0,False,,
525.0,108,45119.0,410.1727272727273,0.23067313942514225,108,45119.0,0.0,108,45119.0,False,,
530.0,108,45659.0,422.76851851851853,0.0,108,45659.0,0.0,108,45659.0,False,,
535.0,108,46199.0,427.76851851851853,0.0,108,46199.0,0.0,108,46199.0,False,,
540.0,108,46739.0,432.76851851851853,0.0,108,46739.0,0.0,108,46739.0,False,,
545.0,108,47279.0,437.76851851851853,0.0,108,47279.0,0.0,108,47279.0,False,,
550.0,108,47819.0,442.76851851851853,0.0,108,47819.0,0.0,108,47819.0,False,,
555.0,108,48359.0,447.76851851851853,0.0,108,48359.0,0.0,108,48359.0,False,,
560.0,108,48899.0,452.76851851851853,0.0,108,48899.0,0.0,108,48899.0,False,,
565.0,108,49439.0,457.76851851851853,0.0,108,49439.0,0.0,108,49439.0,False,,
570.0,108,49979.0,462.76851851851853,0.0,108,49979.0,0.0,108,49979.0,False,,
575.0,108,50519.0,467.76851851851853,0.0,108,50519.0,0.0,108,50519.0,False,,
580.0,108,51059.0,464.1727272727273,0.2497503767612421,108,51059.0,0.01708722399364552,108,51059.0,False,,
585.0,108,51599.0,469.08181818181816,0.2514151349514584,108,51599.0,0.01720908636836792,108,51599.0,False,,
590.0,108,52139.0,473.9909090909091,0.24717371829140558,108,52139.0,0.0,108,52139.0,False,,
595.0,108,52679.0,478.9,0.24914127188153362,108,52679.0,0.0,108,52679.0,False,,
600.0,108,53219.0,488.2477064220183,0.11146627014582276,108,53219.0,0.0,108,53219.0,False,,
605.0,108,53759.0,497.76851851851853,0.0,108,53759.0,0.0,108,53759.0,False,,
610.0,108,54299.0,502.76851851851853,0.0,108,54299.0,0.0,108,54299.0,False,,
615.0,108,54839.0,507.76851851851853,0.0,108,54839.0,0.0,108,54839.0,False,,
620.0,108,55379.0,512.7685185185185,0.0,108,55379.0,0.0,108,55379.0,False,,
625.0,108,55919.0,517.7685185185185,0.0,108,55919.0,0.0,108,55919.0,False,,
630.0,108,56459.0,522.7685185185185,0.0,108,56459.0,0.0,108,56459.0,False,,
635.0,108,56999.0,527.7685185185185,0.0,108,56999.0,0.0,108,56999.0,False,,
640.0,108,57539.0,532.7685185185185,0.0,108,57539.0,0.0,108,57539.0,False,,
645.0,108,58079.0,537.7685185185185,0.0,108,58079.0,0.0,108,58079.0,False,,
650.0,108,58619.0,532.9,0.2610768585275605,108,58619.0,0.017336138611316793,108,58619.0,False,,
655.0,108,59159.0,537.8090909090909,0.25726123763864694,108,59159.0,0.017088274825956484,108,59159.0,False,,
660.0,108,59699.0,542.7181818181818,0.25545474768597637,108,59699.0,0.0,108,59699.0,False,,
665.0,108,60239.0,547.6272727272727,0.2587605324345472,108,60239.0,0.0,108,60239.0,False,,
670.0,108,60779.0,557.605504587156,0.1258104072767732,108,60779.0,0.0,108,60779.0,False,,
675.0,108,61319.0,567.7685185185185,0.0,108,61319.0,0.0,108,61319.0,False,,
680.0,108,61859.0,572.7685185185185,0.0,108,61859.0,0.0,108,61859.0,False,,
685.0,108,62399.0,577.7685185185185,0.0,108,62399.0,0.0,108,62399.0,False,,
690.0,108,62939.0,582.7685185185185,0.0,108,62939.0,0.0,108,62939.0,False,,
695.0,108,63479.0,587.7685185185185,0.0,108,63479.0,0.0,108,63479.0,False,,
700.0,108,64019.0,592.7685185185185,0.0,108,64019.0,0.0,108,64019.0,False,,
705.0,108,64559.0,597.7685185185185,0.0,108,64559.0,0.0,108,64559.0,False,,
710.0,108,65099.0,602.7685185185185,0.0,108,65099.0,0.0,108,65099.0,False,,
715.0,108,65639.0,607.7685185185185,0.0,108,65639.0,0.0,108,65639.0,False,,
720.0,108,66179.0,612.7685185185185,0.0,108,66179.0,0.0,108,66179.0,False,,
725.0,108,66719.0,606.5363636363636,0.2395422119344974,108,66719.0,0.0174069657353793,108,66719.0,False,,
730.0,108,67259.0,611.4454545454546,0.2264327228268659,108,67259.0,0.016499461353930357,108,67259.0,False,,
735.0,108,67799.0,616.3545454545455,0.24391274359377438,108,67799.0,0.0,108,67799.0,False,,
740.0,108,68339.0,621.2636363636364,0.23634268147874793,108,68339.0,0.0,108,68339.0,False,,
745.0,108,68879.0,631.9174311926605,0.10575787192997549,108,68879.0,0.0,108,68879.0,False,,
750.0,108,69419.0,642.7685185185185,0.0,108,69419.0,0.0,108,69419.0,False,,
755.0,108,69959.0,647.7685185185185,0.0,108,69959.0,0.0,108,69959.0,False,,
760.0,108,70499.0,652.7685185185185,0.0,108,70499.0,0.0,108,70499.0,False,,
765.0,108,71039.0,657.7685185185185,0.0,108,71039.0,0.0,108,71039.0,False,,
770.0,108,71579.0,662.7685185185185,0.0,108,71579.0,0.0,108,71579.0,False,,
775.0,108,72119.0,667.7685185185185,0.0,108,72119.0,0.0,108,72119.0,False,,
780.0,108,72659.0,672.7685185185185,0.0,108,72659.0,0.0,108,72659.0,False,,
785.0,108,73199.0,677.7685185185185,0.0,108,73199.0,0.0,108,73199.0,False,,
790.0,108,73739.0,682.7685185185185,0.0,108,73739.0,0.0,108,73739.0,False,,
795.0,108,74279.0,675.2636363636364,0.2590821349307851,108,74279.0,0.017188173919505452,108,74279.0,False,,
800.0,108,74819.0,680.1727272727272,0.26729962261269613,108,74819.0,0.017809451685203384,108,74819.0,False,,
805.0,108,75359.0,685.0818181818182,0.2495389517574781,108,75359.0,0.0,108,75359.0,False,,
810.0,108,75899.0,689.9909090909091,0.2545611932021014,108,75899.0,0.0,108,75899.0,False,,
815.0,108,76439.0,701.2752293577981,0.11134993080995122,108,76439.0,0.0,108,76439.0,False,,
820.0,108,76979.0,712.7685185185185,0.0,108,76979.0,0.0,108,76979.0,False,,
825.0,108,77519.0,717.7685185185185,0.0,108,77519.0,0.0,108,77519.0,False,,
830.0,108,78059.0,722.7685185185185,0.0,108,78059.0,0.0,108,78059.0,False,,
835.0,108,78599.0,727.7685185185185,0.0,108,78599.0,0.0,108,78599.0,False,,
840.0,108,79139.0,732.7685185185185,0.0,108,79139.0,0.0,108,79139.0,False,,
845.0,108,79679.0,737.7685185185185,0.0,108,79679.0,0.0,108,79679.0,False,,
850.0,108,80219.0,742.7685185185185,0.0,108,80219.0,0.0,108,80219.0,False,,
855.0,108,80759.0,747.7685185185185,0.0,108,80759.0,0.0,108,80759.0,False,,
860.0,108,81299.0,752.7685185185185,0.0,108,81299.0,0.0,108,81299.0,False,,
865.0,108,81839.0,743.9909090909091,0.22360045454545457,108,81839.0,0.01818181818181818,108,81839.0,False,,
870.0,108,82379.0,748.9,0.20792871003204452,108,82379.0,0.01690479685625029,108,82379.0,False,,
875.0,108,82919.0,753.8090909090909,0.20849353615910157,108,82919.0,0.016952298454882244,108,82919.0,False,,
880.0,108,83459.0,758.7181818181818,0.20990844914368098,108,83459.0,0.0,108,83459.0,False,,
885.0,108,83999.0,763.6272727272727,0.2227327968537486,108,83999.0,0.0,108,83999.0,False,,
890.0,108,84539.0,775.5871559633027,0.10710735877975106,108,84539.0,0.0,108,84539.0,False,,
895.0,108,85079.0,787.7685185185185,0.0,108,85079.0,0.0,108,85079.0,False,,
900.0,108,85619.0,792.7685185185185,0.0,108,85619.0,0.0,108,85619.0,False,,
905.0,108,86159.0,797.7685185185185,0.0,108,86159.0,0.0,108,86159.0,False,,
910.0,108,86699.0,802.7685185185185,0.0,108,86699.0,0.0,108,86699.0,False,,
915.0,108,87239.0,807.7685185185185,0.0,108,87239.0,0.0,108,87239.0,False,,
920.0,108,87779.0,812.7685185185185,0.0,108,87779.0,0.0,108,87779.0,False,,
925.0,108,88319.0,817.7685185185185,0.0,108,88319.0,0.0,108,88319.0,False,,
930.0,108,88859.0,822.7685185185185,0.0,108,88859.0,0.0,108,88859.0,False,,
935.0,108,89399.0,827.7685185185185,0.0,108,89399.0,0.0,108,89399.0,False,,
940.0,108,89939.0,817.6272727272727,0.22617241981267153,108,89939.0,0.017535102713493518,108,89939.0,False,,
945.0,108,90479.0,822.5363636363636,0.22225860451345314,108,90479.0,0.017203224612817442,108,90479.0,False,,
950.0,108,91019.0,827.4454545454546,0.2191343306442865,108,91019.0,0.0,108,91019.0,False,,
955.0,108,91559.0,832.3545454545455,0.22190636902854258,108,91559.0,0.0,108,91559.0,False,,
960.0,108,92099.0,844.9449541284404,0.10786911639626182,108,92099.0,0.0,108,92099.0,False,,
965.0,108,92639.0,857.7685185185185,0.0,108,92639.0,0.0,108,92639.0,False,,
970.0,108,93179.0,862.7685185185185,0.0,108,93179.0,0.0,108,93179.0,False,,
975.0,108,93719.0,867.7685185185185,0.0,108,93719.0,0.0,108,93719.0,False,,
980.0,108,94259.0,872.7685185185185,0.0,108,94259.0,0.0,108,94259.0,False,,
985.0,108,94799.0,877.7685185185185,0.0,108,94799.0,0.0,108,94799.0,False,,
990.0,108,95339.0,882.7685185185185,0.0,108,95339.0,0.0,108,95339.0,False,,
995.0,108,95879.0,887.7685185185185,0.0,108,95879.0,0.0,108,95879.0,False,,
1000.0,108,96419.0,892.7685185185185,0.0,108,96419.0,0.0,108,96419.0,False,,
1005.0,108,96959.0,897.7685185185185,0.0,108,96959.0,0.0,108,96959.0,False,,
1010.0,108,97499.0,886.3545454545455,0.2461335587302785,108,97499.0,0.01702430231626723,108,97499.0,False,,
1015.0,108,98039.0,891.2636363636364,0.2471028580034206,108,98031.0,0.017091526280140056,108,98031.0,False,,
1020.0,108,98579.0,896.1727272727272,0.2560930215637423,108,98534.0,0.0,108,98534.0,False,,
1025.0,108,99119.0,901.0818181818182,0.25306701647056473,108,99031.0,0.0,108,99031.0,False,,
1030.0,108,99659.0,914.302752293578,0.11803460724943242,108,99503.0,0.0,108,99503.0,False,,
1035.0,108,100199.0,927.7685185185185,0.0,108,99969.0,0.0,108,99969.0,False,,
1040.0,108,100739.0,932.7685185185185,0.0,108,100414.0,0.0,108,100414.0,False,,
1045.0,108,101279.0,937.7685185185185,0.0,108,100842.0,0.0,108,100842.0,False,,
1050.0,108,101819.0,942.7685185185185,0.0,108,101256.0,0.0,108,101256.0,False,,
1055.0,108,102359.0,947.7685185185185,0.0,108,101637.0,0.0,108,101637.0,False,,
1060.0,108,102899.0,952.7685185185185,0.0,108,102005.0,0.0,108,102005.0,False,,
1065.0,108,103439.0,957.7685185185185,0.0,108,102353.0,0.0,108,102353.0,False,,
1070.0,108,103979.0,962.7685185185185,0.0,108,102690.0,0.0,108,102690.0,False,,
1075.0,108,104519.0,967.7685185185185,0.0,108,103005.0,0.0,108,103005.0,False,,
1080.0,108,105059.0,972.7685185185185,0.0,108,103314.0,0.0,108,103314.0,False,,
1085.0,108,105599.0,959.9909090909091,0.24944086263167858,108,103596.0,0.016692794021111707,108,103596.0,False,,
1090.0,108,106139.0,964.9,0.2618340514553704,108,103852.0,0.009123053599120311,108,103852.0,False,,
1095.0,108,106679.0,969.8090909090909,0.25962849411393707,108,104087.0,0.0,108,104087.0,False,,
1100.0,108,107219.0,983.6605504587156,0.1189956488659438,108,104310.0,0.0,108,104310.0,False,,
