step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
265.0,76,12748.0,159.35,0.7439665820076866,76,12748.0,0.02564102564102564,76,12748.0,False,,
270.0,76,13128.0,164.1,0.7415597761887861,76,13128.0,0.02431618078040036,76,13128.0,False,,
275.0,76,13508.0,170.9873417721519,0.5416407301696126,76,13508.0,0.0,76,13508.0,False,,
280.0,76,13888.0,173.6,0.7004844645204162,76,13888.0,0.025395023103942045,76,13888.0,False,,
285.0,76,14268.0,182.92307692307693,0.32388428308826567,76,14268.0,0.024871750887604523,76,14268.0,False,,
290.0,76,14648.0,170.32558139534885,1.2415492001932247,76,14648.0,0.07213438215058499,76,14648.0,False,,
295.0,80,15038.0,174.86046511627907,0.9034341142337654,80,15038.0,0.045484714604219656,80,15038.0,False,,
300.0,80,15438.0,179.51162790697674,0.5849112534161066,80,15438.0,0.011735286805082182,80,15438.0,False,,
305.0,82,15848.0,184.27906976744185,0.6257128005123308,82,15848.0,0.023550712569063256,82,15848.0,False,,
310.0,82,16258.0,189.04651162790697,0.5983877308562657,82,16258.0,0.02247759486258096,82,16258.0,False,,
315.0,82,16668.0,193.8139534883721,0.6070612528625524,82,16668.0,0.022626380128425185,82,16668.0,False,,
320.0,82,17078.0,198.58139534883722,0.5961547084159647,82,17078.0,0.022298270390721922,82,17078.0,False,,
325.0,82,17488.0,203.34883720930233,0.6141132562356395,82,17488.0,0.023809523809523808,82,17488.0,False,,
330.0,82,17898.0,208.11627906976744,0.6189835614005083,82,17898.0,0.023079315986506838,82,17898.0,False,,
335.0,82,18308.0,212.88372093023256,0.6116230489361361,82,18308.0,0.011664639739156706,82,18308.0,False,,
340.0,82,18718.0,217.65116279069767,0.6354653633875621,82,18718.0,0.022636186461762416,82,18718.0,False,,
345.0,82,19128.0,225.03529411764706,0.48084991039981606,82,19128.0,0.02295676603194997,82,19128.0,False,,
350.0,82,19538.0,227.1860465116279,0.644677907239677,82,19538.0,0.023331676015697446,82,19538.0,False,,
355.0,82,19948.0,231.95348837209303,0.63362383262487,82,19948.0,0.02295090838011343,82,19948.0,False,,
360.0,82,20358.0,242.35714285714286,0.3277872955342835,82,20358.0,0.0,82,20358.0,False,,
365.0,82,20768.0,236.0,0.9055006608928854,82,20768.0,0.04551171890034434,82,20768.0,False,,
370.0,82,21178.0,243.42528735632183,0.471054648724186,82,21178.0,0.024977514983150814,82,21178.0,False,,
375.0,84,21598.0,245.4318181818182,0.5553310720686775,84,21598.0,0.02176841070292668,84,21598.0,False,,
380.0,84,22018.0,250.20454545454547,0.5600729682717493,84,22018.0,0.02122244363012924,84,22018.0,False,,
385.0,84,22438.0,254.97727272727272,0.5960104089301854,84,22438.0,0.03426344277077709,84,22438.0,False,,
390.0,84,22858.0,259.75,0.5750548650598039,84,22858.0,0.02184323809751759,84,22858.0,False,,
395.0,84,23278.0,264.52272727272725,0.570798130573939,84,23278.0,0.010702435941760506,84,23278.0,False,,
400.0,84,23698.0,269.29545454545456,0.6184849025183335,84,23698.0,0.02237191928334105,84,23698.0,False,,
405.0,84,24118.0,274.0681818181818,0.6127324539741205,84,24118.0,0.02252752764631464,84,24118.0,False,,
410.0,84,24538.0,278.84090909090907,0.6115563555895105,84,24538.0,0.02199605952979449,84,24538.0,False,,
415.0,84,24958.0,283.6136363636364,0.6223252544194764,84,24958.0,0.02283161202993835,84,24958.0,False,,
420.0,84,25378.0,291.7011494252874,0.4346449094051653,84,25378.0,0.0,84,25378.0,False,,
425.0,84,25798.0,293.15909090909093,0.6050689685857402,84,25798.0,0.02195664105866718,84,25798.0,False,,
430.0,84,26218.0,297.9318181818182,0.6173372284152537,84,26218.0,0.022408881672820926,84,26218.0,False,,
435.0,84,26638.0,295.97777777777776,0.9418956354349376,84,26638.0,0.04466379408945375,84,26638.0,False,,
440.0,84,27058.0,300.64444444444445,0.7335002914232449,84,27058.0,0.029680942988345563,84,27058.0,False,,
445.0,86,27482.0,305.35555555555555,0.6304062317856832,86,27482.0,0.022731564207499323,86,27482.0,False,,
450.0,86,27912.0,310.1333333333333,0.6029805953855623,86,27912.0,0.02083725601926024,86,27912.0,False,,
455.0,86,28342.0,322.0681818181818,0.29064456417123413,86,28342.0,0.011193927193690388,86,28342.0,False,,
460.0,86,28772.0,319.68888888888887,0.5797956058157707,86,28772.0,0.021025389568885014,86,28772.0,False,,
465.0,86,29202.0,324.46666666666664,0.5687422708000054,86,29202.0,0.02101280518279341,86,29202.0,False,,
470.0,86,29632.0,329.24444444444447,0.5801966621064958,86,29632.0,0.021780905303571116,86,29632.0,False,,
475.0,86,30062.0,334.02222222222224,0.5784414388480456,86,30062.0,0.020934693081610087,86,30062.0,False,,
480.0,86,30492.0,342.60674157303373,0.42261554796381445,86,30492.0,0.0,86,30492.0,False,,
485.0,86,30922.0,343.5777777777778,0.5788791180137707,86,30922.0,0.02181104520308487,86,30922.0,False,,
490.0,86,31352.0,348.35555555555555,0.5889012664486194,86,31352.0,0.021790281530488204,86,31352.0,False,,
495.0,86,31782.0,353.1333333333333,0.5899427859983735,86,31782.0,0.021851749303555042,86,31782.0,False,,
500.0,86,32212.0,357.9111111111111,0.5958779676651081,86,32212.0,0.021782033704877742,86,32212.0,False,,
505.0,86,32642.0,354.80434782608694,0.8665346997484163,86,32642.0,0.044444444444444446,86,32642.0,False,,
510.0,86,33072.0,359.4782608695652,0.8301424884457874,86,33072.0,0.0422017143933586,86,33072.0,False,,
515.0,86,33502.0,368.15384615384613,0.41536909546010886,86,33502.0,0.010965841243935242,86,33502.0,False,,
520.0,88,33942.0,368.9347826086956,0.5233672999884047,88,33942.0,0.020458115543185017,88,33942.0,False,,
525.0,88,34382.0,373.7173913043478,0.5315320590773043,88,34382.0,0.020809841009215308,88,34382.0,False,,
530.0,88,34822.0,374.4301075268817,0.6468854625172504,88,34822.0,0.02133328102111791,88,34822.0,False,,
535.0,88,35262.0,383.2826086956522,0.5199296684747177,88,35262.0,0.020868697903454293,88,35262.0,False,,
540.0,88,35702.0,388.0652173913044,0.5352589539817878,88,35702.0,0.011013943234322213,88,35702.0,False,,
545.0,88,36142.0,392.8478260869565,0.5994968242283647,88,36142.0,0.021931602217819264,88,36142.0,False,,
550.0,88,36582.0,397.6304347826087,0.5901516017254381,88,36582.0,0.010587836683506803,88,36582.0,False,,
555.0,88,37022.0,402.4130434782609,0.60188901619642,88,37022.0,0.020608193496015597,88,37022.0,False,,
560.0,88,37462.0,407.19565217391306,0.5917618980384277,88,37462.0,0.020650334642116314,88,37462.0,False,,
565.0,88,37902.0,411.9782608695652,0.5648781626331928,88,37902.0,0.022222222222222223,88,37902.0,False,,
570.0,88,38342.0,416.7608695652174,0.5512119198229127,88,38342.0,0.020768158555411167,88,38342.0,False,,
575.0,88,38782.0,421.54347826086956,0.5504615043217583,88,38782.0,0.010401396001970377,88,38782.0,False,,
580.0,88,39222.0,417.25531914893617,0.8020057983564954,88,39222.0,0.04167900817123537,88,39222.0,False,,
585.0,88,39662.0,421.93617021276594,0.591416996874159,88,39662.0,0.02506728891277155,88,39662.0,False,,
590.0,90,40110.0,426.70212765957444,0.5516084212524358,90,40110.0,0.021612375108697676,90,40110.0,False,,
595.0,90,40560.0,431.48936170212767,0.5328618479521354,90,40560.0,0.02008282355845656,90,40560.0,False,,
600.0,90,41010.0,440.96774193548384,0.3894186457729567,90,41010.0,0.0,90,41010.0,False,,
605.0,90,41460.0,441.06382978723406,0.5799618638723676,90,41460.0,0.02055460185335099,90,41460.0,False,,
610.0,90,41910.0,445.8510638297872,0.5884475918530016,90,41910.0,0.010770210057602756,90,41910.0,False,,
615.0,90,42360.0,450.63829787234044,0.6431160208240981,90,42360.0,0.021529729164118928,90,42360.0,False,,
620.0,90,42810.0,460.3225806451613,0.45648687502540375,90,42810.0,0.020713831646452546,90,42810.0,False,,
625.0,90,43260.0,460.21276595744683,0.6205019084670446,90,43260.0,0.021739130434782608,90,43260.0,False,,
630.0,90,43710.0,465.0,0.6216163108750132,90,43710.0,0.020692798157742852,90,43710.0,False,,
635.0,90,44160.0,480.0,0.29513962873579813,90,44160.0,0.010469380967359866,90,44160.0,False,,
640.0,90,44610.0,474.5744680851064,0.5779751613705458,90,44610.0,0.020228261878917436,90,44610.0,False,,
645.0,90,45060.0,484.51612903225805,0.41371197124113884,90,45060.0,0.020029530037239906,90,45060.0,False,,
650.0,90,45510.0,469.17525773195877,0.9636250643673464,90,45510.0,0.04065028281337906,90,45510.0,False,,
655.0,90,45960.0,478.75,0.665940320831268,90,45960.0,0.027092783356011858,90,45960.0,False,,
660.0,92,46416.0,493.78723404255317,0.27880941120819397,92,46416.0,1.0619224680620711e-06,92,46416.0,False,,
665.0,92,46876.0,488.2916666666667,0.5079611858768952,92,46876.0,0.020234854132659668,92,46876.0,False,,
670.0,92,47336.0,493.0833333333333,0.5041081937494397,92,47336.0,0.0200387051690565,92,47336.0,False,,
675.0,92,47796.0,497.875,0.5080637175312787,92,47796.0,0.01935920262319168,92,47796.0,False,,
680.0,92,48256.0,502.6666666666667,0.5099343951829802,92,48256.0,0.019625523527114462,92,48256.0,False,,
685.0,92,48716.0,497.1020408163265,0.7992264413518474,92,48716.0,0.02127659574468085,92,48716.0,False,,
690.0,92,49176.0,512.25,0.5494264069891135,92,49176.0,0.020579281908524268,92,49176.0,False,,
695.0,92,49636.0,522.4842105263158,0.40075557246685695,92,49636.0,0.010363390904377467,92,49636.0,False,,
700.0,92,50096.0,521.8333333333334,0.5573879912570779,92,50096.0,0.02022205940001478,92,50096.0,False,,
705.0,92,50556.0,526.625,0.5568202341712681,92,50556.0,0.020201853242910007,92,50556.0,False,,
710.0,92,51016.0,531.4166666666666,0.5432332742734332,92,51016.0,0.019765042930149065,92,51016.0,False,,
