seed,total_arrived,total_tyre_pm,mean_stopped,mean_total_wait,mean_avg_wait,mean_avg_speed
23423,1992,169439.99381568728,21.115,366.5852777777778,4.879020815344112,6.092071370402808
23424,1994,171673.27215626725,21.498055555555556,373.55361111111114,4.841760964859485,6.044940252134677
23425,1994,170949.1423445935,21.295555555555556,365.57138888888886,4.761842241957343,6.09251850071749
23426,1993,170085.79620762207,20.454166666666666,349.7077777777778,4.589859458937301,6.147808321076217
23427,1994,170249.14103929946,21.419166666666666,370.84055555555557,4.88440738808095,6.0697693988967165
23428,1994,168382.1270395446,20.896944444444443,356.13055555555553,4.724065548676934,6.145395387173364
23429,1992,171033.85018225212,21.74361111111111,378.99,4.949578700404617,6.032286528847019
23430,1993,169068.72141649167,20.309444444444445,345.36083333333335,4.626862050106404,6.16187327645232
23431,1993,170752.58715595893,21.295,366.3302777777778,4.820986387529071,6.047493327624727
23432,1996,169423.75746783608,21.135833333333334,364.5225,4.728965512078629,6.105812936539537
23433,1996,169833.57255702274,20.47972222222222,351.68611111111113,4.681702592451358,6.199583705713868
23434,1993,170777.39143779053,21.196944444444444,362.04833333333335,4.804742870001416,6.106803878487957
23435,1996,170273.9874523866,21.205833333333334,363.51416666666665,4.736010792602115,6.130070491849244
23436,1993,169696.9897405577,20.715,354.8011111111111,4.686931762831614,6.166429420335406
23437,1984,170529.7524590981,21.94972222222222,375.8855555555556,4.861983812691159,6.063299525539143
23438,1994,169613.6754227205,21.428333333333335,372.92083333333335,4.812145509896395,6.1096561330205565
23439,1995,170045.59109416828,21.441111111111113,363.7536111111111,4.829272932630392,6.082190279635415
23440,1995,171088.64601492995,22.051666666666666,386.605,4.9885762052503155,6.024240578855338
23441,1997,171777.72217818737,21.54861111111111,372.11805555555554,4.810027998989944,6.072534546887079
23442,1995,170483.95988821494,21.658055555555556,378.0158333333333,4.86673159440139,6.072840566865731
