sim_time,reward
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,0.0
5.0,-6.901379430433735
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,-7.758260264939999
15.0,-8.571410016575827
15.0,0.0
15.0,0.0
15.0,0.0
15.0,0.0
15.0,0.0
15.0,0.0
15.0,0.0
15.0,0.0
15.0,0.0
15.0,0.0
15.0,0.0
15.0,0.0
15.0,0.0
15.0,0.0
15.0,-2.028489188500677
20.0,-14.747283816103161
20.0,0.0
20.0,0.0
20.0,0.0
20.0,0.0
20.0,0.0
20.0,0.0
20.0,0.0
20.0,0.0
20.0,0.0
20.0,0.0
20.0,0.0
20.0,0.0
20.0,0.0
20.0,0.0
20.0,-2.4093174074543615
25.0,-7.771791684569557
25.0,0.0
25.0,0.0
25.0,0.0
25.0,0.0
25.0,0.0
25.0,0.0
25.0,0.0
25.0,0.0
25.0,0.0
25.0,0.0
25.0,0.0
25.0,0.0
25.0,0.0
25.0,0.0
25.0,-9.510539037893915
30.0,-4.2972221852280175
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,-11.630868941799505
35.0,-3.7149903118263214
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,0.0
35.0,-12.927236812430982
40.0,-22.405095456439597
40.0,0.0
40.0,-9.990313246916049
40.0,0.0
