sim_time,arrived,tyre_pm
0,0,0
1,0,5.660421851
2,0,4.992124908
3,0,6.014135127
4,0,5.431845573
5,0,6.07245791
6,0,8.506892621
7,0,6.114974713
8,0,5.552611437
9,0,12.73238924
10,0,20.85866832
11,0,28.66584715
12,0,25.70229115
13,0,18.4966783
14,0,10.13961333
15,0,4.458117577
16,0,4.756188518
17,0,3.626997966
18,0,4.352408849
19,0,3.934505501
20,0,2.260333006
21,1,1.888040635
22,1,7.976705055
23,0,10.54584929
24,1,10.64573131
25,0,9.712983832
26,0,4.03371235
27,1,4.343443752
28,0,3.379232507
29,0,3.386523767
30,0,3.528490037
31,0,3.456303193
32,0,3.513072155
33,2,8.578546282
34,1,15.15748547
35,0,16.58773752
36,1,10.15612342
37,0,7.685576705
38,0,6.96456351
39,0,5.902768452
40,0,5.479026235
41,0,10.03339536
42,0,8.502904043
43,1,18.03485153
44,1,29.61718934
45,1,34.09114502
46,0,25.50204964
47,0,17.82607874
48,0,12.53468246
49,2,5.361340807
50,0,11.69326708
51,0,12.48991187
52,2,14.86393164
53,0,15.30244021
54,1,8.76685365
55,0,7.335100429
56,0,5.9090692
57,2,7.707609039
58,1,9.246369028
59,1,15.22623501
60,1,19.94873473
61,2,16.56014992
62,1,7.933350059
63,0,7.450465908
64,0,4.882610758
65,0,7.117353537
66,0,3.346295371
67,0,5.945724746
68,0,13.05256323
69,0,17.80567123
70,0,19.76469753
71,0,14.40808154
72,0,5.76844625
73,0,9.610941673
74,0,7.35267371
75,0,7.990821706
76,0,8.174092593
77,0,6.460810317
78,0,17.88406595
79,0,22.32075648
80,0,22.07389386
81,0,16.85913317
82,0,13.89468949
83,0,18.59464287
84,0,17.07735085
85,0,14.14118268
86,0,8.062899465
87,0,12.98121816
88,0,19.06932621
89,0,22.48762925
90,0,16.2141165
91,0,14.02063468
92,0,13.98762006
93,1,19.98804971
94,1,18.26921015
95,1,23.67193994
96,1,25.77046752
97,0,33.29423834
98,0,30.20862893
99,1,23.50205771
100,0,19.89005229
101,0,16.99987981
102,2,23.26281477
103,0,25.82040286
104,1,23.20895302
105,3,28.60740221
106,0,17.6667246
107,3,12.50138094
108,0,11.40256958
109,1,11.63533392
110,1,10.68561372
111,0,11.62539223
112,1,10.21886655
113,0,9.327877745
114,2,10.37941918
115,1,13.62216328
116,2,14.68440393
117,2,17.17007828
118,0,18.54374562
119,1,14.0804581
120,1,9.61268766
121,1,4.066081938
122,2,7.782066106
123,1,14.63003127
124,2,17.50778299
125,1,28.13976779
126,1,30.27048499
127,0,34.67606359
128,1,24.05139362
129,2,15.84435128
130,0,22.73220297
131,0,20.40882236
132,0,21.13552342
133,0,22.64182294
134,0,20.39507725
135,1,25.18155573
136,1,17.76694076
137,1,9.775679081
138,1,17.3770709
139,0,12.44303769
140,1,10.46255649
141,0,11.02298556
142,1,14.15568491
143,0,13.85799213
144,2,12.75061221
145,1,7.858710624
146,1,6.663614984
147,0,9.110101227
148,1,8.916172164
149,2,8.861589507
150,0,9.493148188
151,0,15.40108676
152,0,20.51360525
153,0,25.53536775
154,0,19.58290989
155,0,11.14622112
156,0,11.07456146
157,0,8.989591535
158,0,4.755299501
159,0,3.448467021
160,0,12.68882815
161,0,22.93990599
162,0,23.32236213
163,0,17.08137017
164,0,3.611484312
165,0,2.382269873
166,1,2.597339997
167,2,2.13060298
168,0,4.840860457
169,1,6.620227595
170,0,11.78927644
171,0,16.06737116
172,0,11.63612916
173,0,17.08463457
174,0,15.71059122
175,0,11.76250363
176,0,10.36009687
177,0,12.58582364
178,1,17.27692672
179,1,26.58421948
180,0,26.6559508
181,0,21.33380005
182,0,21.79328393
183,0,21.18078793
184,0,27.35545636
185,1,28.56056788
186,1,27.05333386
187,1,24.08748659
188,1,28.95563007
189,0,40.62927035
190,1,31.45996079
191,0,31.67024016
192,1,29.13048817
193,2,25.41270313
194,3,20.04054435
195,0,12.02211621
196,1,16.54834748
197,0,17.25195632
198,1,14.51980727
199,1,6.368546997
200,1,5.013936984
201,3,4.385366472
202,0,7.166988633
203,1,2.808720878
204,1,2.167591808
205,1,2.319243939
206,3,6.676909472
207,0,13.94970471
208,1,19.57246197
209,2,26.60580491
210,0,19.54137752
211,1,8.478066163
212,1,13.32769976
213,1,16.58456673
214,1,18.01719377
215,1,21.16449086
216,1,25.26424026
217,0,34.12966512
218,0,34.95586504
219,0,34.45699843
220,0,29.92531577
221,2,24.88502538
222,0,21.40296136
223,1,20.41251748
224,0,16.18565207
225,1,15.62612298
226,0,24.81053538
227,0,28.03943429
228,1,23.68996099
229,0,11.39016654
230,2,5.65299077
231,1,12.84338905
232,0,10.52288206
233,0,13.97302967
234,0,12.5558207
235,1,17.04902321
236,0,12.52897997
237,2,7.464533697
238,0,2.096412152
239,0,2.79977818
240,0,1.698468681
241,0,4.326323638
242,1,9.737567216
243,0,19.14260998
244,0,22.89233803
245,0,17.07054572
246,0,7.298807439
247,0,2.162619265
248,0,2.451087883
249,0,1.791086237
250,0,3.472319497
251,0,7.998137129
252,0,11.49543417
253,0,16.6736067
254,0,20.78786131
255,0,18.8937314
256,0,11.07190072
257,0,4.927206468
258,0,2.573963092
259,0,7.52846324
260,0,11.76087507
261,0,18.99654784
262,0,31.93889678
263,0,42.53023371
264,2,34.98950771
265,0,24.27172355
266,0,22.95617613
267,0,22.66461295
268,0,19.28827986
269,0,18.81138909
270,0,24.35790448
271,1,29.28089288
272,0,29.86573526
273,2,27.25484303
274,0,18.84613494
275,1,19.64106034
276,1,19.34423911
277,2,19.85787743
278,1,22.89393818
279,1,21.96725832
280,1,15.11407535
281,1,13.7553367
282,2,5.475336353
283,1,8.766949314
284,0,4.027896492
285,0,3.495807402
286,3,2.657159039
287,0,3.917927689
288,1,2.882805829
289,0,6.895717465
290,3,12.56216669
291,0,9.897259823
292,2,6.289772086
293,0,8.444210652
294,2,14.58267415
295,0,12.73569067
296,1,13.26550375
297,2,26.77734196
298,1,40.12281289
299,2,50.24855739
300,1,40.63610536
301,1,31.25078695
302,0,32.71486342
303,0,30.05555259
304,1,28.0265032
305,0,22.9439747
306,0,23.81738639
307,0,21.07746432
308,0,26.48342791
309,2,27.59078731
310,2,31.18864311
311,0,26.61536162
312,1,22.68500875
313,0,23.9941328
314,1,16.78243259
315,0,14.06240582
316,2,22.54659604
317,1,23.16108529
318,1,27.51625356
319,0,18.60552568
320,2,13.24499816
321,1,7.336924822
322,0,4.964311276
323,0,7.950737456
324,0,9.803802096
325,0,13.79767336
326,0,18.42451863
327,0,15.62558074
328,0,7.794421017
329,0,6.275342436
330,0,7.642491336
331,0,3.836774227
332,0,5.189518348
333,0,4.187189257
334,0,7.067266627
335,0,14.87152349
336,0,25.01123849
337,0,25.23230198
338,0,14.32043308
339,0,4.63549752
340,0,0.879109328
341,0,2.044772547
342,0,1.733780688
343,0,3.654618409
344,0,9.164048555
345,1,16.35597421
346,0,19.82368148
347,0,13.99005015
348,0,10.93752197
349,0,9.943285785
350,2,10.12843209
351,0,13.30105374
352,0,17.18675149
353,0,28.02833006
354,0,29.12445505
355,0,31.40033096
356,0,19.46750788
357,0,19.56043858
358,0,16.84939163
359,1,17.32395977
360,3,18.32631251
361,1,20.34769131
362,0,19.50545608
363,2,21.51707438
364,0,20.342425
365,1,14.42130635
366,2,17.44727681
367,0,11.92146302
368,3,13.5386394
369,1,12.93024693
370,1,18.35515825
371,1,21.80364505
372,1,19.25085608
373,0,13.67606974
374,1,9.344767047
375,2,8.833914409
376,0,7.40431408
377,0,4.198050038
378,3,5.078614596
379,0,8.896906329
380,2,11.11755758
381,2,17.26786474
382,2,23.50289041
383,0,20.98553845
384,1,18.8757009
385,0,15.14712335
386,0,13.59168416
387,0,16.68371544
