seed,total_arrived,total_tyre_pm,mean_stopped,mean_total_wait,mean_avg_wait,mean_avg_speed
23423,2004,114256.23194564605,45.670833333333334,1467.3438888888888,18.864480618192307,3.982212233481479
23424,2142,120082.11957480054,46.64416666666666,1444.35,17.973759800096964,4.050757209036689
23425,2102,123305.56333921898,51.73277777777778,1648.7730555555556,19.214161925670613,3.7794567954488545
23426,2130,117341.95679888493,42.86888888888889,1305.1169444444445,17.470293530006522,4.195507467607352
23427,2117,111606.94466434412,34.39111111111111,979.2397222222222,15.088506365294888,4.777787335402363
23428,2093,117917.42868952293,47.6525,1485.065,18.309292763986758,3.9704099507421535
23429,2051,108833.97281838414,34.64694444444444,994.4522222222222,15.331662239915127,4.6981048898901685
23430,2071,110885.82278726506,38.044444444444444,1123.5030555555556,16.23736383249232,4.507455224991567
23431,2097,116296.18612904164,42.81388888888889,1299.7625,17.25898089349141,4.235117950415352
23432,2090,121245.78324739583,50.14972222222222,1583.0175,18.877253761325182,3.84561412853755
23433,2124,116318.62036755153,40.340555555555554,1205.27,16.75607018045844,4.387555860857617
23434,2092,121860.71178301421,51.846666666666664,1629.1127777777779,18.976597930586358,3.7741551173127674
23435,2115,116388.03828875777,40.05638888888889,1182.7388888888888,16.501138638457196,4.392599665222119
23436,2012,107883.94133797627,36.77583333333333,1090.4830555555557,16.49615104210514,4.473861232804531
23437,2073,113181.83518104571,42.560833333333335,1335.1661111111111,18.091848828737927,4.161094356179233
23438,2059,121858.66452087177,58.35722222222222,2100.3488888888887,21.528311887323362,3.575289449427156
23439,2056,115433.06455173879,42.44722222222222,1289.2591666666667,17.39849669492649,4.205369659215187
23440,2029,120515.61722100004,57.971944444444446,2002.3147222222221,20.64485591250251,3.618582051674926
23441,2058,114554.7968385221,42.39361111111111,1283.3141666666668,17.09793805690505,4.271547291725687
23442,2111,123299.0193520827,48.0625,1495.4605555555556,17.910350831002237,4.037305192805385
