sim_time,arrived_num,tyre_pm,stopped,total_wait,avg_wait,avg_speed
1.0,0,0,0,0,0.0,0.0
2.0,0,0.0,0,0.0,0.0,14.8157685
3.0,0,2.122839277167804,0,0.0,0.0,13.754348861416098
4.0,0,1.1129823890049,0,0.0,0.0,14.310840055918549
5.0,0,0.919627744005993,0,0.0,0.0,13.851026183915552
6.0,0,0.9900756581686441,0,0.0,0.0,14.346064012999875
7.0,0,0.6589350791182369,0,0.0,0.0,14.372114648960505
8.0,0,1.364829449355602,0,0.0,0.0,14.356146386669314
9.0,0,2.9577038087416465,0,0.0,0.0,14.356814095513727
10.0,0,3.6330361421601225,0,0.0,0.0,13.829954069688064
11.0,0,4.242493897179761,0,0.0,0.0,12.971963230188862
12.0,0,7.960622619074427,0,0.0,0.0,10.996612954417953
13.0,0,8.58109287032605,0,0.0,0.0,10.277255659366723
14.0,0,8.358878074517854,0,0.0,0.0,9.8358858747281
15.0,0,3.925386957996345,0,0.0,0.0,9.958671376926262
16.0,0,2.035913112475053,2,2.0,0.2222222222222222,10.672840643723838
17.0,0,8.966567723853538,2,4.0,0.4444444444444444,9.913569964194286
18.0,0,6.861359680026149,2,6.0,0.6666666666666666,9.38709553248859
19.0,0,5.566866694496691,2,8.0,0.8,9.652840072275689
20.0,0,4.237902746082501,2,10.0,1.0,9.507548686577255
21.0,0,6.34586990216645,3,13.0,1.3,9.181440254414804
22.0,0,8.410690548292244,3,16.0,1.6,8.599788810103282
23.0,0,5.771707459163638,3,19.0,1.7272727272727273,8.982340257052048
24.0,0,7.682795813546985,3,22.0,2.0,8.51736575082242
25.0,0,7.355239969646505,4,26.0,2.1666666666666665,8.455151414645995
26.0,0,10.080334843967245,4,30.0,2.142857142857143,8.82411095477208
27.0,0,10.845749190380296,4,34.0,2.4285714285714284,8.31192931027614
28.0,0,7.377685162690952,4,38.0,2.7142857142857144,7.927708222508429
29.0,0,5.008369455774827,4,42.0,2.625,8.517374529384092
30.0,0,6.762403004679772,5,47.0,2.611111111111111,8.793643624400305
31.0,0,8.053568628575796,6,53.0,2.789473684210526,8.756308389836581
32.0,0,8.105431184472671,6,59.0,3.1052631578947367,8.431149957656054
33.0,0,10.384897401234136,6,65.0,3.4210526315789473,8.353379014883195
34.0,0,10.102106280310926,7,72.0,3.789473684210526,8.135688453772959
35.0,0,16.51988707556228,7,79.0,3.761904761904762,7.807588046071862
36.0,0,16.992300419990308,7,86.0,4.095238095238095,7.271849693342308
37.0,0,18.52360514349576,7,93.0,4.2272727272727275,6.879547640016662
38.0,1,19.70359669529907,7,100.0,4.761904761904762,5.7943670445054085
39.0,0,20.44191299170572,10,110.0,5.238095238095238,5.00176228049938
40.0,0,21.68250123138428,10,120.0,5.217391304347826,4.7612772460479444
41.0,0,19.8384118821753,11,131.0,5.695652173913044,3.9973494926980893
42.0,0,16.06448246837988,13,144.0,6.260869565217392,3.426967231574747
43.0,0,12.969571218783429,14,158.0,6.076923076923077,4.159315424993504
44.0,0,10.411538328558427,16,174.0,6.444444444444445,4.051850844575282
45.0,0,11.155997997283588,17,191.0,7.074074074074074,3.711354835242511
46.0,0,16.819841864045255,16,147.0,5.444444444444445,3.5379303461589076
47.0,0,19.28122914428596,14,118.0,4.37037037037037,3.4460418599479112
48.0,0,18.69451771353695,13,94.0,3.357142857142857,3.6728053456457457
49.0,0,24.74706486792898,12,89.0,3.0689655172413794,4.141863176237845
50.0,0,25.04164044191252,12,101.0,3.4827586206896552,4.376041497220957
51.0,0,24.093465194151097,13,114.0,3.8,4.897571936620697
52.0,0,25.765792532843008,13,127.0,4.096774193548387,5.419310267271865
53.0,0,20.81237479316303,13,140.0,4.375,5.9556568856514005
54.0,0,18.426837909442348,13,153.0,4.78125,6.381900343067336
