sim_time,arrived_num,tyre_pm,stopped,total_wait,avg_wait,avg_speed
1.0,0,0.0,0,0.0,0.0,15.680421
2.0,0,0.4568559578154243,0,0.0,0.0,15.223565042184577
3.0,0,0.7359417293686406,0,0.0,0.0,14.487623312815936
4.0,0,0.12868923691566891,0,0.0,0.0,14.616312549731605
5.0,0,0.08956477341707902,0,0.0,0.0,14.395863161574344
6.0,0,1.5643178304191672,0,0.0,0.0,13.933605440159553
7.0,0,0.32483892196323794,0,0.0,0.0,13.693989934094114
8.0,0,1.0577353053493415,0,0.0,0.0,13.341411498977669
9.0,0,2.2796533930303884,0,0.0,0.0,13.310163544373067
10.0,0,4.33229449612554,0,0.0,0.0,12.183145034248415
11.0,0,5.860882416809908,0,0.0,0.0,11.342981976875278
12.0,0,6.478379166452214,0,0.0,0.0,10.48649264631951
13.0,0,1.837915611013391,0,0.0,0.0,11.293709676042523
14.0,0,3.586482652394765,1,1.0,0.125,10.8271563570313
15.0,0,7.919047179569561,1,2.0,0.25,10.048421131793035
16.0,0,6.880663666053417,1,3.0,0.3333333333333333,10.391887455940719
17.0,0,6.469615690559516,1,4.0,0.36363636363636365,10.500664415311526
18.0,0,8.616330218980147,1,5.0,0.45454545454545453,9.976303962434333
19.0,0,7.239904015767651,1,6.0,0.5454545454545454,9.691544107010934
20.0,0,12.59710857377735,2,8.0,0.7272727272727273,8.86802334246229
21.0,0,12.119580506459883,2,10.0,0.7692307692307693,8.688801797763768
22.0,0,11.873042468465849,2,12.0,0.9230769230769231,8.216747403134056
23.0,0,8.330580191350345,3,15.0,1.0,8.506742346208549
24.0,0,5.332559483280203,3,18.0,1.2,8.414237230657559
25.0,0,8.27778044307159,4,22.0,1.4666666666666666,7.9208332222135
26.0,0,7.842488665740618,4,26.0,1.625,8.104139871042912
27.0,0,15.916441084684427,5,31.0,1.9375,7.2389725494313915
28.0,0,17.159337688255967,5,36.0,2.25,6.340694499902217
29.0,0,15.423320518975284,6,42.0,2.625,5.613606678886412
30.0,0,6.5862770696401824,7,49.0,3.0625,5.2444902186120395
31.0,0,7.877768313887463,9,58.0,3.411764705882353,5.370877023735207
32.0,0,8.05026135178579,9,67.0,3.9411764705882355,5.262719884357256
33.0,0,5.793034216106799,9,76.0,4.470588235294118,5.132961532617489
34.0,0,10.206954228721344,10,86.0,5.0588235294117645,4.6216909325885585
35.0,0,13.070437873820511,10,96.0,5.333333333333333,4.528910020024899
36.0,0,18.562179218801933,10,106.0,5.3,4.602550630976106
37.0,0,16.4217974239804,11,110.0,4.782608695652174,5.191902646951047
38.0,0,15.339256184174602,11,121.0,5.260869565217392,4.681091740946362
39.0,0,12.964694293428558,12,133.0,5.541666666666667,4.766593545760485
40.0,0,11.079930838335553,13,146.0,6.083333333333333,4.625855146266524
41.0,0,11.596326674917648,14,160.0,6.4,5.148693351402525
42.0,0,4.892459706531739,15,175.0,7.0,5.145729766291042
43.0,0,4.871026631291253,15,190.0,7.037037037037037,5.683975490412096
44.0,0,13.044179857730644,15,205.0,7.592592592592593,5.421243950741104
45.0,0,17.600012352748738,15,220.0,7.333333333333333,5.783085361630639
46.0,0,28.376447551143404,12,157.0,4.90625,6.032561271010392
47.0,0,34.21913646806868,12,131.0,3.9696969696969697,5.959654597557274
48.0,0,33.705821344133746,11,121.0,3.6666666666666665,5.846174230335969
49.0,0,27.53084389860283,11,117.0,3.5454545454545454,5.940957038795269
50.0,0,34.895430805916774,10,119.0,3.606060606060606,6.09014320173226
51.0,0,33.30397581854413,12,131.0,3.9696969696969697,6.205442573485034
52.0,0,32.25083097963901,12,143.0,4.333333333333333,6.414051862661179
53.0,0,24.352329020662133,13,156.0,4.588235294117647,6.614528916070886
54.0,0,15.304966794319016,14,170.0,4.722222222222222,7.155450791748673
55.0,0,25.655757356951586,15,185.0,5.138888888888889,6.914828498248341
56.0,0,20.188693765836305,16,201.0,5.4324324324324325,6.74507630320256
57.0,0,20.5068415152863,16,217.0,5.864864864864865,6.4839281865831975
58.0,0,13.552605845772481,17,234.0,6.324324324324325,6.34675571094163
59.0,0,8.00663807474735,17,251.0,6.783783783783784,6.313697890891806
60.0,0,13.579942758454724,19,270.0,7.105263157894737,6.3445957132389665
61.0,0,18.248999698385102,19,289.0,7.048780487804878,6.677616988032839
62.0,0,19.079537334418347,19,308.0,7.162790697674419,6.7370407277158915
63.0,0,23.452737014290722,19,327.0,7.431818181818182,6.693725047478151
64.0,0,18.83965233205057,20,347.0,7.886363636363637,6.4268303194186975
65.0,0,15.933697110096338,21,368.0,8.0,6.697205557312007
66.0,1,18.026946524258904,21,389.0,8.456521739130435,6.392836534423815
67.0,0,23.106645794714808,22,411.0,8.934782608695652,5.980422153299483
68.0,0,24.458373099028847,22,433.0,9.212765957446809,5.824224877439279
69.0,2,22.45696873447624,23,456.0,9.702127659574469,5.495018899999007
70.0,0,24.969166540668287,25,481.0,10.23404255319149,5.083896523282921
71.0,0,23.12332834862181,26,507.0,10.787234042553191,4.803318359043754
72.0,1,22.512452276488965,26,533.0,11.58695652173913,4.2141845485068075
73.0,0,15.349879711651832,28,561.0,12.195652173913043,4.033681630418546
74.0,0,11.319378242203205,29,590.0,12.553191489361701,4.071299085790583
75.0,1,11.237146474135416,31,621.0,13.5,3.787609996801607
76.0,2,9.639736903993942,32,653.0,14.195652173913043,3.6702691249318495
77.0,1,8.415597754750527,32,685.0,15.222222222222221,3.36678776058375
78.0,0,9.316071098391417,32,717.0,15.933333333333334,3.320570303267959
79.0,1,12.540802229860608,32,749.0,17.022727272727273,2.8711962198834824
80.0,0,11.822693718917423,33,782.0,17.772727272727273,2.6733196219052853
81.0,1,22.495823829530675,33,815.0,18.953488372093023,1.976938972748134
82.0,0,24.783462039209947,32,743.0,16.886363636363637,1.9174850395692147
83.0,0,24.63494701468512,31,686.0,14.91304347826087,2.1978274447520727
84.0,0,15.543433975829716,32,694.0,14.458333333333334,2.76398563938258
85.0,0,16.733436616317242,33,707.0,14.729166666666666,2.8621783001406502
86.0,0,23.12406838788918,32,723.0,14.46,3.410672694782841
87.0,1,24.141298571373422,32,755.0,15.408163265306122,3.3881218501390644
88.0,0,18.60611174729291,32,787.0,16.06122448979592,3.535677398050495
89.0,0,16.92836440262927,33,820.0,16.4,3.806529695817027
90.0,0,11.749910174652559,33,853.0,16.403846153846153,4.053974177661535
91.0,0,27.421328644407325,28,626.0,11.592592592592593,4.359493072029054
92.0,1,37.89435818244119,23,478.0,8.851851851851851,4.513877893421015
93.0,0,46.83090468319406,21,405.0,7.363636363636363,4.7105967901609676
94.0,0,52.83220080927959,20,360.0,6.545454545454546,4.95934695783942
95.0,0,64.6454408355867,18,337.0,6.127272727272727,5.252076726804848
96.0,0,57.08875688850739,18,315.0,5.526315789473684,5.7734595304652725
97.0,0,51.34303688146582,18,300.0,5.172413793103448,6.265096372754425
98.0,0,43.58267899597825,19,292.0,4.786885245901639,6.9484027017551595
99.0,0,41.0908606676296,19,285.0,4.672131147540983,7.151045072926686
100.0,0,51.73368298133804,19,279.0,4.5,7.117941436393552
101.0,0,53.06239148635117,19,273.0,4.403225806451613,6.887310058119829
102.0,0,49.50059353020876,19,292.0,4.634920634920635,6.83116093564628
103.0,0,43.69307018740973,18,291.0,4.619047619047619,6.623010836671709
104.0,0,44.63918553485069,21,312.0,4.9523809523809526,6.382537463631217
105.0,1,44.291414511319196,22,333.0,5.285714285714286,6.263775173633275
106.0,1,36.74680999180712,22,355.0,5.725806451612903,6.107811638025638
107.0,1,46.112765293675636,25,380.0,6.229508196721311,5.730733720171102
108.0,0,43.560385644352955,25,405.0,6.639344262295082,5.413192001886374
109.0,0,42.34434467542141,28,433.0,6.983870967741935,5.3064883566028485
110.0,0,32.3744317564876,29,462.0,7.451612903225806,5.155562261181789
111.0,0,34.68220767384874,33,495.0,7.983870967741935,5.0167783295730315
112.0,0,35.14177809280002,33,528.0,8.25,4.958727783996088
113.0,0,26.76161924944643,34,562.0,8.646153846153846,4.974235087911947
114.0,0,20.068420554836425,36,598.0,8.925373134328359,5.218237950250257
115.0,1,20.38618059750039,38,636.0,9.492537313432836,5.048045818244982
116.0,0,15.03522373742968,38,674.0,9.628571428571428,5.444504981663752
117.0,1,13.692900784758951,39,713.0,10.04225352112676,5.557717579134748
118.0,0,15.615847408401189,39,752.0,10.444444444444445,5.588671293695493
119.0,1,12.354979149250187,39,791.0,10.835616438356164,5.841078513071563
120.0,0,19.888202106272637,39,830.0,11.216216216216216,5.918408321846141
121.0,1,26.191192831618217,39,869.0,11.743243243243244,5.798604061559223
122.0,2,29.63612176986146,39,908.0,12.61111111111111,5.417001570558252
123.0,0,38.603491810212965,39,947.0,13.152777777777779,5.085903407526069
124.0,2,33.9247970083917,41,988.0,13.915492957746478,4.779911187644595
125.0,1,40.60856377212285,41,1029.0,14.7,4.255932528856943
126.0,1,29.86711111871748,42,1071.0,15.3,3.972503207906084
127.0,2,42.51074702648097,41,899.0,13.220588235294118,3.3899747284931507
128.0,0,41.07466417411308,42,882.0,12.970588235294118,3.2103202544884386
129.0,1,41.612664565684355,43,925.0,13.805970149253731,2.802587349219194
130.0,0,42.32517757290581,45,970.0,14.477611940298507,2.4957835143013067
131.0,0,33.46817348741666,46,1016.0,14.941176470588236,2.4718591571050705
132.0,2,32.16525636652404,49,1065.0,15.895522388059701,2.0468300777719173
133.0,0,27.263339591545716,50,1115.0,16.64179104477612,1.8494329943788532
134.0,1,18.719899977212634,53,1168.0,17.432835820895523,1.7320316825921886
135.0,0,12.424262178482573,56,1224.0,18.26865671641791,1.5613741831712227
136.0,0,24.499392536269198,51,1005.0,14.779411764705882,1.7815166624424534
137.0,1,28.4473602043991,48,914.0,13.64179104477612,1.8016597358083304
138.0,0,28.502767505545343,44,845.0,12.611940298507463,2.180404639832283
139.0,0,35.592114195919294,41,802.0,11.794117647058824,2.7862729375502755
140.0,0,38.57832372100346,37,764.0,10.914285714285715,3.5764332658000635
141.0,0,43.41694896793993,36,750.0,10.56338028169014,4.269585628676375
142.0,0,48.02588785721424,35,750.0,10.56338028169014,4.7799339317030105
143.0,0,42.49986864660809,34,750.0,10.56338028169014,5.148807882743337
144.0,1,38.95139136510487,33,750.0,10.714285714285714,5.424751643332019
145.0,0,34.807899265103124,32,761.0,10.871428571428572,5.650902128791641
146.0,0,30.89748036649218,32,775.0,11.071428571428571,5.9610050308609965
147.0,0,35.955545152163594,31,793.0,11.32857142857143,6.055795258253146
148.0,0,31.714069742384495,30,814.0,11.628571428571428,6.159436500815272
149.0,1,40.23480580625287,29,835.0,12.101449275362318,6.054112611776077
150.0,1,49.64573157553107,30,865.0,12.53623188405797,5.722231204660967
151.0,0,48.50596282947147,31,896.0,12.985507246376812,5.40332809583427
152.0,1,49.28883848311495,31,927.0,13.242857142857142,5.443144731508757
153.0,0,35.96787506985968,35,962.0,13.742857142857142,5.408282541206494
154.0,1,27.797018406557076,36,998.0,14.257142857142858,5.33642323161178
155.0,0,27.03380792920293,36,1034.0,14.771428571428572,5.266933386153221
156.0,0,31.49340702581751,37,1071.0,15.3,5.234856187597584
157.0,0,29.178287244136254,37,1108.0,15.82857142857143,5.196922349751676
158.0,0,26.90274298128721,37,1145.0,16.12676056338028,5.317587280632148
159.0,0,24.511272525040212,38,1183.0,16.661971830985916,5.394045741940642
160.0,0,26.13136040320235,38,1221.0,17.197183098591548,5.352084766114651
161.0,0,26.68120453660238,39,1260.0,17.746478873239436,5.371789064422373
162.0,0,22.013303109493464,39,1299.0,18.041666666666668,5.3568448561239945
163.0,1,19.68121348264615,40,1339.0,18.59722222222222,5.360917714249863
164.0,1,21.300963369521384,40,1379.0,19.422535211267604,5.112564171598638
165.0,1,22.29313834099827,41,1420.0,20.285714285714285,4.980668722185871
166.0,1,19.050429824897847,41,1461.0,20.87142857142857,4.8874620331314205
167.0,3,14.199103164211845,41,1502.0,22.417910447761194,4.594619865742846
168.0,2,13.79283333460306,41,1543.0,23.73846153846154,4.358896059616038
169.0,2,17.023406410847265,42,1585.0,25.158730158730158,4.00923433592525
170.0,1,20.491367005256752,42,1627.0,25.825396825396826,3.898086150511202
171.0,0,27.778861597545145,42,1669.0,26.49206349206349,3.651975542365859
172.0,3,40.30109671059179,37,1313.0,21.524590163934427,3.2072604681329597
173.0,0,48.16307525968803,32,1009.0,16.540983606557376,3.2681295636864856
174.0,2,46.02529166689567,29,797.0,13.065573770491802,3.5522062290189096
175.0,0,47.846579773842784,29,786.0,12.67741935483871,3.958388195716124
176.0,2,45.62177184137082,29,812.0,13.533333333333333,4.065638533292453
177.0,2,44.69999415100267,30,842.0,14.517241379310345,4.231083220693458
178.0,0,42.19785281538456,31,873.0,14.796610169491526,4.716446939232169
179.0,0,34.69357626504275,31,904.0,15.066666666666666,5.000222314535203
180.0,0,34.5308730179864,33,937.0,15.112903225806452,5.135919072577016
181.0,0,39.702527358761245,29,720.0,11.612903225806452,5.0139486404914395
182.0,0,41.01514126257451,26,595.0,9.596774193548388,5.010847509633951
183.0,0,43.49657678477155,25,489.0,7.887096774193548,5.184555999271239
184.0,0,49.878566702092044,24,404.0,6.412698412698413,5.537559920766639
185.0,0,49.76049896819961,24,378.0,6.0,5.724744412935228
186.0,0,47.915074837815084,24,401.0,6.265625,5.9457584026601715
187.0,2,42.52624933583609,24,425.0,6.640625,6.176413603902818
188.0,0,39.03475757606087,24,449.0,7.015625,6.540894456572609
189.0,2,31.99945813333972,24,473.0,7.276923076923077,6.833226805455824
190.0,0,34.123271487672675,25,498.0,7.661538461538462,6.947121264766557
191.0,0,38.840181250368246,25,523.0,8.046153846153846,7.045147462221397
192.0,0,37.78495354706302,25,548.0,8.430769230769231,7.1777471283593535
