sim_time,arrived,tyre_pm
0,0,0
1,0,5.137337283
2,0,5.254344208
3,0,6.611124801
4,0,7.474987814
5,0,7.723158282
6,0,7.730923034
7,0,8.113533336
8,0,7.932315416
9,0,7.64407668
10,0,6.776265898
11,0,3.656650736
12,0,3.271151733
13,0,4.124337594
14,0,1.536706234
15,0,2.038270276
16,0,2.413487168
17,0,2.46527776
18,0,1.307600647
19,0,2.470718234
20,0,0.778920294
21,0,1.189701678
22,0,1.121881755
23,0,1.435735422
24,0,1.040730026
25,0,1.923615726
26,0,2.424256356
27,0,2.436783489
28,0,5.91221206
29,0,6.112610788
30,0,9.090999075
31,0,21.59106632
32,0,19.82894616
33,0,19.427374
34,0,17.99114351
35,0,10.10371015
36,0,11.27791796
37,0,8.094903176
38,0,7.579678014
39,0,6.138614741
40,0,5.80974891
41,0,4.015076052
42,0,2.361656874
43,0,1.451001625
44,0,1.700026402
45,0,1.328162201
46,0,1.528900083
47,0,1.395164581
48,0,2.158777873
49,0,1.620851868
50,0,2.848537973
51,0,2.53002653
52,0,2.042508151
53,0,1.846726794
54,0,0.95460055
55,0,1.684311935
56,0,1.899909924
57,0,1.084870689
58,0,2.056011315
59,0,5.59106919
60,0,5.477684972
61,0,5.486707569
62,0,7.190626084
63,0,10.45073284
64,0,13.25851938
65,0,16.04091187
66,0,16.1944177
67,0,12.49614851
68,0,7.735646031
69,0,6.894197589
70,0,5.691279235
71,0,3.356649489
72,0,2.484240698
73,0,4.57824488
74,0,3.106120489
75,0,1.733429176
76,0,1.464592374
77,0,2.920149401
78,0,2.414123932
79,0,3.440243931
80,0,1.183851703
81,0,1.760161439
82,0,2.617310576
83,0,2.234476349
84,0,1.178611555
85,0,2.283200618
86,0,2.084268302
87,0,2.963625718
88,0,5.298708896
89,0,5.229335662
90,0,4.967058653
91,0,11.39422005
92,0,13.18293705
93,0,14.48097114
94,0,16.16400633
95,0,12.88928567
96,0,11.42955045
97,0,9.911695501
98,0,8.039460667
99,0,11.39928562
100,0,13.28549375
101,0,11.20310093
102,0,8.395665185
103,0,8.867694988
104,0,7.347493141
105,0,6.742824728
106,0,7.605017571
107,0,9.579305299
108,0,6.041677976
109,0,9.889338232
110,0,6.324197202
111,0,5.680727511
112,0,3.967228763
113,0,3.287852791
114,0,2.299783628
115,0,3.073552616
116,0,4.650233913
117,0,2.815711371
118,0,7.035275258
119,0,9.452843446
120,0,10.51172014
121,0,16.24808234
122,0,15.02008369
123,0,11.04961676
124,0,18.36611908
125,0,17.18733174
126,0,12.14233727
127,0,12.16660658
128,0,9.413720085
129,0,12.77810365
130,0,8.648962676
131,0,8.025445162
132,0,6.488808618
133,0,4.37415542
134,0,7.551039547
135,0,2.151352698
136,0,1.743460218
137,0,2.952858259
138,0,1.866546995
139,0,0.958618509
140,0,0.72342744
141,0,2.366437101
142,0,2.523220271
143,0,2.57783659
144,0,1.958639319
145,0,4.060184692
146,0,4.357521484
147,0,4.935579553
148,0,7.420211635
149,0,9.735383587
150,0,6.335413274
151,0,16.67116484
152,0,21.05100569
153,0,18.34225006
154,0,22.53309119
155,0,17.41891878
156,0,12.14900907
157,0,10.01120015
158,0,9.932334667
159,0,8.590847981
160,0,10.54902227
161,0,6.001806134
162,0,4.856062988
163,0,6.274501278
164,0,9.749574158
165,0,13.00097027
166,0,11.5597971
167,0,9.4563783
168,0,9.72584447
169,0,7.327439921
170,0,5.320034752
171,0,6.477187547
172,0,9.216964289
173,0,12.22962429
174,0,18.11853568
175,0,16.56673752
176,0,10.92492843
177,0,10.30066597
178,0,16.46295695
179,0,17.11653834
180,0,19.6064666
181,0,23.72437766
182,0,21.5162854
183,0,20.48978826
184,0,21.76296156
185,0,19.7155771
186,0,22.49656028
187,0,14.98913979
188,0,9.685419619
189,0,9.306950814
190,0,8.397404204
191,0,13.02438797
192,0,14.40851007
193,0,14.6061228
194,0,18.13588185
195,0,20.4054886
196,0,19.26288416
197,0,21.27596621
198,0,23.0514454
199,0,17.84762336
200,0,18.8559651
201,0,11.22161757
202,0,5.60322536
203,0,7.968622203
204,0,6.082615701
205,0,6.52756647
206,0,7.992189576
207,0,11.53140423
208,0,12.36923097
209,0,12.55341399
210,0,12.34388518
211,0,17.16118118
212,0,16.92366866
213,0,16.15840349
214,0,14.82365876
215,0,19.96407448
216,0,13.50361061
217,0,14.91849052
218,0,11.62312189
219,0,12.42417782
220,0,10.48748349
221,0,9.34423163
222,0,9.231776467
223,0,8.154452788
224,0,10.33037258
225,0,7.604155235
226,0,11.83077915
227,0,8.254988937
228,0,7.292488807
229,0,6.236001064
230,0,3.937578633
231,0,6.133699299
232,0,7.093571731
233,0,10.42146369
234,0,12.35018128
235,0,9.832113711
236,0,10.89214399
237,0,10.47150055
238,0,3.859153186
239,0,2.782167621
240,0,1.078252152
241,0,7.311699538
242,0,11.43948067
243,0,16.56473318
244,0,18.30849576
245,0,16.68612891
246,0,18.5679411
247,0,19.65254872
248,0,15.14264562
249,0,16.86019646
250,0,20.39242742
251,0,24.47705504
252,0,23.48362939
253,0,21.46148918
254,0,18.69809246
255,0,18.34977853
256,0,14.83384954
257,0,14.4704865
258,0,10.16908886
259,0,10.45284319
260,0,8.504412391
261,0,6.913043854
262,0,6.865551552
263,0,12.58682652
264,0,7.455105206
265,0,9.704913853
266,0,14.17119411
267,0,19.81833831
268,0,14.76063506
269,0,15.19349384
270,0,13.43895499
271,0,15.03173772
272,0,13.99998765
273,0,15.24354043
274,0,18.27802398
275,0,12.53488631
276,0,12.48031109
277,0,17.49867348
278,0,22.03516453
279,0,21.65680856
280,0,21.35923796
281,0,17.73606836
282,0,14.7407741
283,0,14.53615653
284,0,11.01114145
285,0,9.396853764
286,0,9.735845041
287,0,12.53442098
288,0,13.16312532
289,0,15.55596757
290,0,12.94782281
291,0,10.26210316
292,0,12.90033972
293,0,12.90475711
294,0,11.80515183
295,0,14.29474109
296,0,14.54029417
297,0,16.32656352
298,0,25.73520227
299,0,30.32821034
300,0,32.81621113
301,0,39.90483849
302,0,29.83337746
303,0,19.93238625
304,1,17.19065233
305,0,15.07377964
306,0,14.00017558
307,0,13.10418215
308,0,11.4158702
309,0,13.80768788
310,1,13.85372634
311,1,10.26827908
312,0,9.20081613
313,0,11.27144504
314,0,12.27975836
315,0,13.92871656
316,0,14.41974651
317,0,10.25496066
318,0,5.700981432
319,0,11.03432245
320,0,13.45074777
321,0,14.72791082
322,0,16.58423233
323,0,14.63211676
324,0,17.93576404
325,0,20.0757669
326,0,22.72227244
327,0,19.07018968
328,0,17.47552482
329,0,11.58255285
330,0,11.15425222
331,0,19.301267
332,0,17.43825198
333,0,21.68143641
334,0,25.49750381
335,0,25.12788632
336,0,21.26532068
337,0,24.76327425
338,0,21.46866247
339,0,24.24824672
340,0,26.64265529
341,0,30.00104506
342,0,23.64343735
343,0,19.26302777
344,0,14.17673528
345,0,13.40961658
346,0,9.888997328
347,0,12.30300072
348,0,14.76000833
349,0,17.62258659
350,0,25.74002493
351,0,23.24848253
352,0,23.74600735
353,0,23.68221175
354,0,25.24053459
355,1,24.11747864
356,0,27.75615557
357,1,25.75194759
358,0,26.6342179
359,0,21.25511085
360,0,27.99571036
361,0,31.83338174
362,0,26.07325179
363,0,19.61171092
364,0,20.29692456
365,0,17.20663019
366,0,21.32653524
367,0,14.01243361
368,0,16.11263599
369,0,16.02037438
370,0,17.28493655
371,0,14.96284154
372,0,12.05467425
373,0,11.33900941
374,0,15.49116761
375,0,14.56500662
376,0,17.5766619
377,0,15.18133708
378,0,16.99497699
379,0,20.48646822
380,0,17.00252481
381,0,7.633058389
382,0,8.920148602
383,0,7.497788426
384,0,6.170529078
385,0,3.044005478
386,0,8.082026638
387,0,6.6631877
388,0,6.347751473
389,0,5.569560798
390,0,10.96894747
391,0,19.73828028
392,0,23.04955051
393,0,27.02013115
394,0,24.32962421
395,0,22.21910171
396,0,20.73117676
397,0,23.22375262
398,0,34.38952625
399,0,31.7708414
400,0,27.5685243
401,0,22.90111574
402,0,21.05054282
403,0,21.14366372
404,0,25.48867052
405,0,21.8062808
406,0,20.26273333
407,0,20.9903813
408,0,20.24158399
409,0,18.51627303
410,0,18.81873864
411,0,22.76409928
412,0,20.7321965
413,0,16.55394597
414,0,18.00602407
415,0,16.65911345
416,0,17.26994756
417,0,22.87767162
418,0,24.32842752
419,0,21.79758941
420,0,22.3435937
421,0,22.45834037
422,0,21.29743679
423,0,20.96932989
424,0,20.42357817
425,0,24.15380682
426,0,28.01692139
427,0,30.58580487
428,0,25.34175327
429,0,21.27871417
430,0,13.86849233
431,0,11.86642635
432,0,12.23746595
433,0,9.75321701
434,0,10.43035152
435,0,14.47123836
436,0,10.57813634
437,0,13.05903032
438,0,8.179256653
439,0,6.628524514
440,0,4.411856324
441,0,4.598728724
442,0,6.149490763
443,0,7.982028004
444,0,10.95036946
445,0,14.75063663
446,0,19.90405893
447,0,24.24605082
448,0,29.06207751
449,0,33.2841375
450,0,29.71297857
451,0,28.87786148
452,0,30.1534476
453,1,24.22548234
454,0,28.01545985
455,0,31.97071561
456,0,25.12928941
457,1,20.68732234
458,0,18.12983248
459,1,14.16506118
460,0,13.06959239
461,0,12.2549221
462,0,13.06914776
463,0,13.19756456
464,0,14.02935501
465,0,15.91888876
466,0,12.21564625
467,0,14.10748216
468,0,14.70800782
469,0,12.27546222
470,0,13.39105386
471,0,9.831736962
472,0,14.04408851
473,0,17.36084467
474,0,18.89188554
475,0,24.06556231
476,0,28.497274
477,0,26.05351522
478,0,21.91259159
479,0,26.70700366
480,0,23.80804218
481,0,22.75410675
482,0,18.72190621
483,0,18.71878612
484,0,24.66669102
485,0,21.98339325
486,0,19.76292908
487,0,20.67940273
488,0,20.7989572
489,0,18.84088275
490,0,17.33476931
491,0,21.78707312
492,0,18.15467121
493,0,16.780649
494,0,25.78634475
495,0,27.93923089
496,0,29.28023178
497,0,26.18620699
498,0,20.07457466
499,0,18.41727108
500,0,19.45136896
501,0,13.53236039
502,0,17.15459016
503,0,20.87377655
504,0,20.56791784
505,0,27.44074422
506,0,27.22724693
507,0,24.2434779
508,0,21.9822165
509,0,15.18213442
510,0,18.09011489
511,0,22.4941109
512,0,23.86485502
513,0,22.8467555
514,0,20.89451481
515,0,18.75826348
516,0,22.42215345
517,0,25.61994492
518,0,26.16999725
519,0,19.87957788
520,0,15.13143595
521,0,11.30618301
522,0,8.388900368
523,0,12.2994548
524,0,14.76654808
525,0,17.34463966
526,0,17.10936773
527,0,11.21660978
528,0,7.503928581
529,0,11.76474557
530,0,13.33706579
531,0,16.5799116
532,0,19.48641418
533,0,15.70710921
534,0,15.27587219
535,0,8.284782722
536,0,12.83190933
537,0,10.63775206
538,0,6.679153271
539,0,7.193702011
540,0,8.553241763
541,0,12.40959175
542,0,12.30687807
543,0,17.38198902
544,0,20.34767222
545,0,27.01466155
546,0,26.35606712
547,0,30.78716634
548,0,28.23392199
549,0,24.45573717
550,0,20.96908018
551,0,20.84299818
552,0,19.36382104
553,0,28.80061274
554,0,31.22047612
555,0,24.12550022
556,0,23.51743975
557,0,18.82537415
558,0,20.34452557
559,0,22.09341041
560,0,28.3330928
561,0,27.0460319
562,0,29.80796834
563,0,41.025725
564,0,37.52467138
565,0,38.62059213
566,0,29.05642575
567,0,25.95723913
568,0,19.14858597
569,0,18.37275404
570,0,21.59851061
571,0,25.97659986
572,0,27.50959311
573,0,32.00939097
574,0,35.47704139
575,0,31.73052363
576,0,24.66435755
577,0,25.38192994
578,0,21.68828986
579,0,25.98505262
580,0,20.56211514
581,0,18.54576267
582,0,12.74970444
583,0,12.0183616
584,0,11.01289334
585,0,5.635523798
586,0,7.638927153
587,0,5.975528413
588,0,6.024235136
589,0,12.92740499
590,0,19.54797469
591,0,20.22420528
592,0,25.05172385
593,0,28.32595331
594,1,23.80300775
595,0,23.13824418
596,0,19.33266328
597,0,23.24261581
598,0,23.44167351
599,0,18.80478348
600,0,16.71838833
601,0,17.80939093
602,0,17.6973568
603,0,17.83644449
604,0,17.25729267
605,0,27.00157277
606,0,25.3703945
607,0,27.27444816
608,0,30.23297928
609,0,33.64913899
610,1,33.46018197
611,1,27.14470718
612,0,29.0570669
613,1,25.04284674
614,0,30.1210055
615,0,26.43241465
616,1,23.6397777
617,0,28.89179216
618,0,25.27492948
619,0,41.498735
620,1,42.12073872
621,1,34.60628853
622,0,44.71236156
623,0,42.12288069
624,0,47.8116272
625,0,45.20488278
626,0,45.18207102
627,0,39.47304433
628,0,35.28471187
629,0,34.3650001
630,0,27.77771281
631,0,26.66142984
632,0,23.08800583
633,0,23.65868797
634,0,34.38158712
635,0,33.63902951
636,0,30.11363379
637,0,31.73301692
638,0,28.11434907
639,0,22.68616533
640,1,21.33468752
641,0,21.83738483
642,0,19.85497622
643,0,23.41019504
644,0,24.74549372
