step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,
5.0,0,0.0,0.0,12.365808371096406,0,0.0,0.8967919870139905,0,0.0,
10.0,0,0.0,0.0,11.846221482506872,0,0.0,0.8652343496429649,0,0.0,False
15.0,4,5.0,0.2777777777777778,4.916973385127806,4,5.0,0.32358496689114485,4,5.0,False
20.0,10,53.0,2.9444444444444446,5.434447497633108,10,53.0,0.3292710586314459,10,53.0,False
25.0,8,83.0,3.4583333333333335,5.418075657964408,8,83.0,0.31456656978186465,8,83.0,False
30.0,14,144.0,6.545454545454546,3.916667176132924,14,144.0,0.21942622251922309,14,144.0,False
35.0,14,203.0,7.8076923076923075,3.4530349579945256,14,203.0,0.19113069232248436,14,203.0,False
40.0,16,283.0,9.433333333333334,4.772163098367725,16,283.0,0.2638820720862872,16,283.0,False
45.0,20,375.0,11.029411764705882,5.186239464098264,20,375.0,0.2876705270970218,20,375.0,False
50.0,23,479.0,14.515151515151516,1.768745992074198,23,479.0,0.10102291604692704,23,479.0,False
55.0,24,447.0,12.416666666666666,2.3691550101290817,24,532.0,0.16588253671082692,24,532.0,False
