seed,total_arrived,total_sys_tyre_pm,mean_sys_stopped,mean_sys_total_wait,mean_sys_avg_wait,mean_sys_avg_speed,total_agents_tyre_pm,mean_agents_stopped,mean_agents_total_delay,mean_agents_total_wait,mean_agents_avg_delay,mean_agents_avg_wait,mean_agents_avg_speed
23423,1892,152080.4713142834,28.530833333333334,915.6822222222222,9.288252335108595,5.193205614233783,64825.4218453148,24.715,6674.0225,867.6077777777778,118.57064587594623,14.041543868243672,3.3102123706255493
23424,1887,147742.63128569536,25.365277777777777,415.1461111111111,5.246428859797539,5.297989125355933,61588.738610054046,21.44972222222222,6051.1483333333335,366.27444444444444,128.2695799582822,8.689131077024982,3.3665065598112496
23425,1888,147024.8926650561,24.16888888888889,388.9475,4.98669038567292,5.339925607054088,61148.176888760296,20.379166666666666,5743.8388888888885,342.4188888888889,124.45893939151978,8.284421104455806,3.4062745866082302
23426,1889,147332.52709470104,24.9125,420.75333333333333,5.427199426427566,5.292723280991744,61652.517041373154,20.935277777777777,5870.151111111111,367.79277777777776,126.37054230782708,8.987105925970404,3.3848390748242148
23427,1887,147012.76968874512,25.302777777777777,443.045,5.737276839959452,5.2913858200423585,61645.601480761536,21.31888888888889,5988.51,387.61,128.8809853490954,9.409827989069331,3.378256513241855
23428,1886,146329.8790077764,24.95861111111111,414.54083333333335,5.36580004390972,5.309767218992534,61118.03853916858,20.974166666666665,5969.328888888889,361.65416666666664,128.1038157310677,8.789624261978716,3.401252646645386
23429,1888,146591.81944342214,24.915555555555557,406.8511111111111,5.180569455436968,5.332591534235655,61171.41179966825,20.977777777777778,5864.935277777778,358.12305555555554,126.47787176086413,8.56251046990621,3.4088202365625344
23430,1888,149077.06702490503,24.79888888888889,387.0388888888889,4.910627843797666,5.345670553379676,63049.79571220299,20.93777777777778,5817.555833333333,340.51166666666666,124.80892855599105,8.153283104847057,3.431791856249164
23431,1887,147067.47791440232,25.083055555555557,407.1725,5.123310780101943,5.324684050716612,61973.09895083703,21.261388888888888,5943.13,360.2038888888889,126.26203695971923,8.425997783200375,3.4173398660235783
23432,1888,146866.61109215897,24.558888888888887,393.4086111111111,5.018500596472544,5.343758131714397,60908.986110943515,20.672777777777778,5791.259166666667,346.3102777777778,125.01898190833468,8.289683188317122,3.4207289378032026
23433,1887,146842.96805145685,25.240833333333335,415.83944444444444,5.269024181840343,5.301744488170072,61718.53705728997,21.351388888888888,5925.973055555555,366.79027777777776,125.79404632309151,8.712396951645948,3.3679010315843496
23434,1890,148963.111830006,25.040277777777778,441.8902777777778,5.884005181404268,5.315126417338196,62896.61057460373,21.18138888888889,5710.635833333334,392.68361111111113,122.95518124081028,10.26630507412167,3.3648723071787803
23435,1886,147580.275991756,24.3475,395.7188888888889,5.071987387494865,5.357722809176535,62008.30091675024,20.537777777777777,5753.114166666666,346.9875,124.0001267584886,8.424346569435263,3.4037851372761594
23436,1893,147870.70546316865,24.80638888888889,405.96944444444443,5.178782510742873,5.345837912187369,62095.663364228574,20.969444444444445,5609.662777777778,358.7225,120.78682475697626,8.53356188309167,3.429576227225803
23437,1887,148644.24211075538,25.83888888888889,456.15555555555557,5.661288399254988,5.266759098545144,62968.59787998087,21.921944444444446,5841.181388888889,404.5308333333333,121.63282326234969,9.219820353909519,3.3583784798844536
23438,1884,146240.05437524724,24.811944444444446,409.14694444444444,5.223718147758923,5.346235848951927,61100.96571370978,20.914722222222224,6007.7138888888885,359.3230555555556,128.47438540666968,8.647524964437185,3.422564002390738
23439,1889,148485.45176528045,24.499444444444446,424.2916666666667,5.562743368891196,5.319320599370856,61914.50286117841,20.6325,5604.103888888889,370.39694444444444,121.59046403585555,9.189797282046484,3.395811940586343
23440,1889,146568.1629222717,24.544166666666666,396.0286111111111,5.050917458147918,5.338654783393146,60806.74672466207,20.669166666666666,5840.0633333333335,348.1094444444444,125.91371922506275,8.402655698171534,3.425941393848195
23441,1891,148599.85196000253,25.0775,415.2186111111111,5.282018128191357,5.3572439973347,62411.76404951,21.24972222222222,5719.063611111111,367.33972222222224,122.2108423893669,8.796230690424093,3.4477459057948465
23442,1891,147316.7728249984,24.689166666666665,427.9816666666667,5.486580380731076,5.316517855640634,61537.609199123704,20.79861111111111,5645.895277777778,374.0686111111111,121.9808109813124,9.101020086983835,3.395785887629552
