test,congestion_reward,alpha,time_trained,reward,arrived,tyre_pm_emitted,final_waiting_time
1,delta_wait_time_reward,0.875,0,-274654.4434541464,860.0,14168.97474275455,1067914.0
1,delta_wait_time_reward,0.875,2000000.0,-84072.53790447116,4688.0,67464.80394422323,449899.0
