seed,total_arrived,total_tyre_pm,mean_stopped,mean_total_wait,mean_avg_wait,mean_avg_speed
23423,1169,52566.08805002444,60.24111111111111,12678.128055555555,164.94645888747027,1.361753175569577
23424,1110,47612.326735607065,61.60472222222222,14568.544444444444,189.02247546359118,1.297430036452935
23425,1112,47907.6235825348,61.27027777777778,17902.628055555557,232.29373182645122,1.2979703950189103
23426,1120,48457.25972068098,61.29527777777778,16875.81527777778,218.8991420927266,1.3097848906955833
23427,1203,55468.220276124935,59.23166666666667,12344.497777777779,160.67042483974151,1.3956207168077859
23428,1137,49589.77631200556,60.8875,11946.99888888889,155.90392561722132,1.322278800557655
23429,1106,47000.54031845319,61.51555555555556,19610.318888888887,255.40790267145803,1.294178754073459
23430,1086,45718.54385010491,62.278888888888886,14527.372222222222,188.32738638124607,1.2635410404847647
23431,1120,48606.99591357777,61.36222222222222,11911.765833333333,154.91502396380878,1.3026256663083244
23432,1099,46491.591156086695,61.867222222222225,14897.766666666666,192.92391481505462,1.2804741032430693
23433,1098,46656.99216828326,61.86638888888889,16169.323611111111,209.5663814599797,1.2795569178165054
23434,1136,49754.69749450047,60.839166666666664,13138.203611111112,171.34919556008717,1.3284723796584856
23435,1077,44918.387257128416,62.155,19180.52611111111,249.94136685226286,1.263773341097623
23436,1165,52242.34411249819,60.26916666666666,14516.510833333334,189.38257586438013,1.3600172646846302
23437,1190,54382.766252366186,59.66027777777778,11561.853611111112,150.64585340272487,1.3778515645617158
23438,1121,48657.725674237525,61.21361111111111,21382.07638888889,277.8904188881436,1.3037192676675697
23439,1111,47369.07511201211,61.39833333333333,18835.175555555557,245.3133521862607,1.3005882667557462
23440,1111,47509.65528566443,61.50861111111111,14823.351666666667,192.35006467495256,1.2971375775893466
23441,1077,44753.73840760397,62.32805555555556,21057.479722222222,271.9077630051787,1.2634084351208246
23442,1103,46159.86804058594,61.82944444444445,17886.25138888889,232.29254855645414,1.2892758614933337
