sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed,agents_tyre_pm,agents_stopped,agents_total_wait,agents_avg_speed,agents_total_pressure
1.0,0,0.0,0,0.0,0.0,13.90503875,0.0,0,0.0,1.0,8
2.0,0,6.907774243294261,0,0.0,0.0,11.842920776365204,6.907774243294261,0,0.0,0.8481504897331721,12
3.0,0,5.846553456131369,0,0.0,0.0,11.826876872236411,5.846553456131369,0,0.0,0.8471115201790611,12
4.0,0,8.966462685538799,0,0.0,0.0,12.270165796207017,8.966462685538799,0,0.0,0.8783673353367228,12
5.0,0,5.839996709605534,0,0.0,0.0,12.419457603921813,5.839996709605534,0,0.0,0.8875363093198594,12
6.0,0,4.493168572130413,0,0.0,0.0,12.412851823397622,4.493168572130413,0,0.0,0.8893078518157091,12
7.0,0,7.48085501118911,0,0.0,0.0,12.95649071421971,7.48085501118911,0,0.0,0.9275932970302363,12
8.0,0,3.782753307325324,0,0.0,0.0,13.013421074027669,3.782753307325324,0,0.0,0.9323514245625173,12
9.0,0,8.512613004746514,0,0.0,0.0,12.619642228027681,8.512613004746514,0,0.0,0.9083547006243714,12
10.0,0,15.077495737377529,0,0.0,0.0,11.490745742215031,15.077495737377529,0,0.0,0.8349746008081661,12
11.0,0,22.67764757691239,0,0.0,0.0,9.91208475946361,22.12399747186628,0,0.0,0.7022490596301734,11
12.0,0,26.165057856863157,0,0.0,0.0,8.578004946907155,26.127674590301492,0,0.0,0.6071698078686779,13
13.0,0,32.32642990106632,1,1.0,0.05555555555555555,8.15613126809796,27.125824864654888,1,1.0,0.5988753651138545,14
14.0,0,32.59118408489309,1,2.0,0.1111111111111111,7.075282407505977,27.743039608567837,1,2.0,0.4769478971865925,14
15.0,0,25.236864393614376,1,3.0,0.16666666666666666,6.543412761768476,20.445534910042912,1,3.0,0.40371599997892743,13
16.0,0,12.533071715590882,4,7.0,0.3888888888888889,6.329948295595212,9.596847312987192,4,7.0,0.36944794352065763,12
17.0,0,9.18068870875979,7,14.0,0.7777777777777778,6.4707332603305225,4.394196401298925,7,14.0,0.3583032785710466,12
18.0,0,6.589425319475016,9,23.0,1.2777777777777777,6.652598109625742,3.8868292588835716,9,23.0,0.3629910884720145,12
19.0,0,6.467824599906637,9,32.0,1.7777777777777777,6.686781118183898,4.325449294936102,9,32.0,0.36187804130093354,12
20.0,0,4.31223241696646,9,41.0,2.2777777777777777,6.772477209402641,3.222182764956256,9,41.0,0.3639836200612899,12
21.0,0,8.282125303511334,9,50.0,2.7777777777777777,6.366836689917229,7.700110106020061,9,50.0,0.3316293046145802,12
22.0,0,14.023991709128985,9,59.0,2.95,6.642861005885036,12.729789414579082,9,59.0,0.36344236431594046,14
23.0,1,19.931302536639162,9,68.0,3.238095238095238,5.8876562249591595,17.319942096398925,9,68.0,0.2756940787753533,15
24.0,0,14.758258979874,9,77.0,3.6666666666666665,5.315268806086958,13.071798374959535,9,77.0,0.2291509689916617,14
25.0,0,9.53995022309624,10,87.0,3.782608695652174,5.97992500860099,8.073418147807534,10,87.0,0.30258390320404305,15
26.0,2,5.524092947840458,10,97.0,4.619047619047619,5.170254854833108,4.887475562407403,10,97.0,0.29996691283093974,17
27.0,0,4.8051671553777915,12,109.0,5.190476190476191,5.086301929459343,3.5120110948712018,12,109.0,0.2952781625604898,17
28.0,0,3.1509998815135862,12,121.0,5.761904761904762,5.074658630954909,2.1896046095063753,12,121.0,0.2978427848126534,17
29.0,0,8.093777463403283,13,134.0,6.380952380952381,4.871725317439567,7.194059250531472,13,134.0,0.2825688710086278,17
30.0,0,11.382441351022653,13,147.0,7.0,4.3539955660077805,10.802190730669619,13,147.0,0.24314915511723334,17
