sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed,agents_tyre_pm,agents_stopped,agents_total_wait,agents_avg_speed,agents_total_pressure
2701.0,1,7.355481232169275,72,36090.0,456.8354430379747,0.8559682911589953,7.1964978839524125,72,36090.0,0.055556230654274064,77
2702.0,0,6.653381382783179,73,36163.0,457.75949367088606,0.7915721292962963,5.870339084968206,73,36163.0,0.04992372678311124,77
2703.0,1,4.129457989682503,71,36147.0,463.4230769230769,0.6948596016010237,0.49439908540627364,71,36147.0,0.0510762783614458,76
2704.0,0,10.24666005731872,70,36131.0,463.21794871794873,0.7697610342877305,5.971755425635118,70,36131.0,0.052615799654608456,76
2705.0,0,11.58666015319745,68,36115.0,463.0128205128205,0.9139410869541507,7.240458604635066,68,36115.0,0.0595047196995456,75
2706.0,0,16.12744221635335,66,36098.0,462.79487179487177,1.0918713182953155,7.880891801081942,66,36098.0,0.059114480236283296,73
2707.0,0,19.923379699589407,64,36082.0,462.5897435897436,1.3420695611189637,10.663644383271881,64,36082.0,0.06904815855994793,71
2708.0,0,19.768007799555207,62,36064.0,462.35897435897436,1.5615556194624771,11.15773585427639,62,36064.0,0.07325439489840765,69
2709.0,0,20.176346091490988,60,36044.0,462.1025641025641,1.7904054511298717,10.237310631133989,60,36044.0,0.07551211626977478,67
2710.0,0,28.018959558620082,58,36023.0,461.8333333333333,1.9800611586037844,19.46158962823111,58,36023.0,0.08426938077858706,67
2711.0,0,30.13901850917396,56,36000.0,461.53846153846155,2.08331071008774,21.25338829405074,56,36000.0,0.07764291874826869,65
2712.0,0,39.90193453161682,55,35978.0,461.2564102564103,2.0025555005281133,32.70256560786481,55,35978.0,0.06893855197706408,64
2713.0,0,31.80619291026397,51,35933.0,449.1625,2.2271277352280414,26.734551796986906,51,35933.0,0.08888564508067355,64
2714.0,0,35.71363460278674,52,35947.0,449.3375,2.1464761721913512,28.915402655923504,52,35947.0,0.0768388321068886,64
2715.0,0,30.97517383101671,50,35923.0,449.0375,2.2120950954768537,23.086231355842152,50,35923.0,0.0756230687380559,64
2716.0,1,28.86752319031031,50,35900.0,454.43037974683546,2.1756523135088788,18.311207577424206,50,35900.0,0.07279975475522615,62
2717.0,1,29.660243152555555,51,35914.0,460.43589743589746,2.0935243518952595,20.135845869135586,51,35914.0,0.07034914264006131,62
2718.0,0,28.276589673106574,51,35893.0,460.1666666666667,2.219559175735272,18.48565073725192,51,35893.0,0.07230879777013803,61
2719.0,2,28.09082007719284,49,35871.0,471.9868421052632,1.9482090040877542,23.021870185753784,49,35871.0,0.07149604347292378,62
2720.0,0,20.686396461792313,47,35846.0,471.6578947368421,2.0100968858392942,17.26194797987791,47,35846.0,0.07251600819352699,62
2721.0,2,23.707746886331332,48,35860.0,484.5945945945946,1.7044849194137008,20.751332289688026,48,35860.0,0.07013472631612434,64
2722.0,0,23.25307308641614,48,35873.0,484.77027027027026,1.6296468182214157,20.893254077074843,48,35873.0,0.06474604162222536,64
2723.0,0,25.88793781328954,49,35906.0,478.74666666666667,1.6159996147132438,19.704536175299506,49,35906.0,0.0615578571253641,63
2724.0,1,24.749541999503425,49,35955.0,479.4,1.4858087957439932,18.849173582705124,49,35955.0,0.060076487666513134,65
2725.0,0,23.418714597830444,51,36005.0,467.5974025974026,1.7595002976648864,18.81768023454108,51,36005.0,0.08116464113082184,67
2726.0,0,24.373097149650786,52,36057.0,468.27272727272725,1.7964282380492524,15.346429690843713,52,36057.0,0.06740540823931677,64
2727.0,1,19.840989699602982,54,36111.0,468.97402597402595,1.6518872405353837,12.43548588127912,54,36111.0,0.06305442561917823,65
2728.0,1,17.827264550244756,54,36165.0,469.6753246753247,1.5165853337954043,12.258037958183337,54,36165.0,0.05898230093513037,66
2729.0,0,21.020984472717434,55,36220.0,470.38961038961037,1.5376960506910275,12.081940154413731,55,36220.0,0.051781245375688074,65
2730.0,1,13.727757371229012,57,36277.0,471.12987012987014,1.406844282389979,9.199156568468776,57,36277.0,0.05010108737169126,67
2731.0,0,14.903142624871808,58,36335.0,465.8333333333333,1.401231066505046,11.73528524678662,58,36335.0,0.049015510939168214,68
2732.0,1,15.617055749125106,58,36393.0,472.6363636363636,1.1212404496717712,13.218595204574001,58,36393.0,0.03915343068042779,69
2733.0,0,8.667174286190857,61,36454.0,467.35897435897436,1.0862185688140273,7.065937229734238,61,36454.0,0.03593217685580734,70
2734.0,0,6.468666006068229,62,36516.0,468.15384615384613,1.0440275784866944,4.463695406440654,62,36516.0,0.032562209359003426,70
2735.0,0,4.829452826160558,64,36580.0,468.97435897435895,1.0297579206330885,3.0951118942029634,64,36580.0,0.019254671222921602,69
2736.0,0,5.636585518571342,65,36644.0,469.79487179487177,1.0006501974169164,2.5773821704289417,65,36644.0,0.016974076066664616,69
2737.0,1,4.489861709468338,66,36710.0,464.6835443037975,1.0903516945666336,2.6152251396295747,66,36710.0,0.04096813449364795,71
2738.0,0,5.937146903414585,66,36775.0,465.50632911392404,1.09359116813421,3.328273508133229,66,36775.0,0.040377088521230495,71
2739.0,1,5.395934354965282,69,36844.0,472.35897435897436,0.9439739757280771,2.7270393254864054,69,36844.0,0.026309523493989365,71
2740.0,1,2.678106307694863,70,36914.0,479.4025974025974,0.7505635979578648,0.9139383732249833,70,36914.0,0.025560240454786942,72
2741.0,0,1.8286785923869595,70,36984.0,480.31168831168833,0.7628064865355422,0.5246367208653363,70,36984.0,0.025194516348594216,71
2742.0,1,0.48484652655794264,71,37055.0,487.5657894736842,0.6264369257366557,0.3074393033621744,71,37055.0,0.025179190472363805,72
2743.0,0,1.4576428001056607,72,37127.0,488.5131578947368,0.6378454519479217,0.48284864781975656,72,37127.0,0.02539919121216217,72
2744.0,0,1.1826785718662407,72,37199.0,489.4605263157895,0.651163907879971,0.7280299818249139,72,37199.0,0.026012737396668487,72
2745.0,0,1.5522851493996632,72,37271.0,490.4078947368421,0.6327936166881407,0.808600893113302,72,37271.0,0.02530694455360108,72
2746.0,0,1.1930629424968398,72,37343.0,491.35526315789474,0.6223388950249238,0.4433394946142701,72,37343.0,0.025244257913874475,72
2747.0,1,2.0664586278617945,72,37415.0,498.8666666666667,0.46865291508342294,1.1664611537948817,72,37415.0,0.02510069875942121,73
2748.0,0,0.8174393856297771,72,37487.0,499.82666666666665,0.46092181871837806,0.021727271550853085,72,37487.0,0.0130204342734554,72
2749.0,0,0.7056819674868812,72,37559.0,487.7792207792208,0.7795055554218775,0.004777883047491005,72,37559.0,0.027032091816101722,73
2750.0,0,3.7371626605969377,72,37631.0,488.7142857142857,0.7793964296745071,1.811766038950579,72,37631.0,0.02515853331917605,72
2751.0,0,2.8330245212124714,72,37703.0,489.64935064935065,0.792993396487985,0.8529744279742292,72,37703.0,0.026055381177909342,71
2752.0,0,1.213529904722622,72,37775.0,490.5844155844156,0.7772427466335388,0.9354894694643243,72,37775.0,0.02506554065385263,71
2753.0,0,3.08033561408229,72,37847.0,491.5194805194805,0.7759806870116828,0.4794298050197586,72,37847.0,0.02543185745131283,71
2754.0,1,1.241460619689206,72,37919.0,498.9342105263158,0.6642758810257264,0.7275483530799491,72,37919.0,0.025516627977657823,72
2755.0,0,2.9645085000433014,72,37991.0,499.88157894736844,0.6363301253285034,1.2247502587968473,72,37991.0,0.025085524325868854,72
