seed,total_arrived,total_tyre_pm,mean_stopped,mean_total_wait,mean_avg_wait,mean_avg_speed
23423,2058,109916.58121318658,11.359166666666667,212.6861111111111,5.447725214204386,7.470608552147087
23424,2163,114363.60849324332,10.92361111111111,187.80666666666667,4.661516881030603,7.651637789577928
23425,2135,116971.84897207847,11.776111111111112,201.92194444444445,4.9701411642840885,7.409445181897943
23426,2157,114214.0140483249,12.190833333333334,259.94972222222225,6.201493193340137,7.41627572374495
23427,2136,113930.31237918776,11.194166666666666,209.29083333333332,5.171006019717271,7.557154456518432
23428,2142,112849.77174757377,11.95888888888889,246.40472222222223,5.925234947825003,7.457997083165968
23429,2098,109378.69087708928,10.659722222222221,195.7213888888889,4.976184362086414,7.6615647783358956
23430,2104,108489.13065664103,10.7125,193.13555555555556,5.00361147197368,7.688716386913476
23431,2147,113507.49022670096,11.023888888888889,194.7938888888889,4.916612468562021,7.623098979285511
23432,2139,113648.33653951432,11.2925,209.8961111111111,5.1740413650410915,7.564555185053423
23433,2146,118754.15656953062,12.143611111111111,216.1352777777778,5.161686507921171,7.391722342030797
23434,2151,113832.27293476528,11.689166666666667,218.03527777777776,5.414205573430601,7.533444566386849
23435,2164,114412.84866602284,11.324166666666667,193.66444444444446,4.846768491793662,7.575760583645264
23436,2045,108804.57403105465,10.276944444444444,178.54444444444445,4.669263323636106,7.723542276433972
23437,2103,112422.33908337282,11.430833333333334,210.1638888888889,5.281959943843803,7.515269594297077
23438,2143,113810.45392264987,11.211388888888889,211.30138888888888,5.245526001603751,7.571182244717122
23439,2103,110024.76400820223,10.990833333333333,202.54861111111111,5.1877609916069485,7.62166466757339
23440,2121,112522.42022272965,11.178055555555556,187.83777777777777,4.721809064790872,7.55322014616964
23441,2124,114046.10078673152,11.508333333333333,203.79555555555555,5.060068304992189,7.547669150661249
23442,2160,119041.69259408138,12.91,232.9661111111111,5.40643601183399,7.270991485773138
