sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed,agents_tyre_pm,agents_stopped,agents_total_wait,agents_avg_speed,agents_total_pressure
788.0,1,43.334740553747544,15,287.0,5.627450980392157,6.5450233234631705,29.273416457985526,15,287.0,0.38606284197215784,15
789.0,1,42.216879965431275,15,252.0,4.9411764705882355,6.706391823293555,28.567147211564034,15,252.0,0.37302139498611253,16
790.0,0,34.70532248841059,15,235.0,4.607843137254902,6.9127426571234905,21.628951606688513,15,235.0,0.3621259629104376,15
791.0,2,38.61663384965385,16,226.0,4.612244897959184,6.921155697192065,26.953261778416586,16,226.0,0.36292589968779393,14
792.0,0,38.82929032707017,15,219.0,4.38,7.242870862215959,29.26460413121228,15,219.0,0.37221966284562413,14
793.0,2,51.69509788508398,13,117.0,2.4375,6.948032524617081,39.92322453948307,13,117.0,0.3633167857672708,14
794.0,0,47.5269083451784,12,111.0,2.2653061224489797,6.985249974713254,37.00409023306269,12,111.0,0.34792539646430337,13
795.0,1,44.91847178285724,14,125.0,2.6041666666666665,6.7961980951893475,35.89902314226361,14,125.0,0.31734888860698096,13
796.0,0,30.287070734523127,17,142.0,2.8979591836734695,6.985050548834836,22.98381927604602,17,142.0,0.3244471607673503,11
797.0,0,28.281914321557252,18,160.0,3.2653061224489797,7.112732858930354,19.510451181201873,18,160.0,0.34372218602186827,9
798.0,1,28.526665824076282,17,151.0,3.1458333333333335,7.153257171928452,18.02183302485748,17,151.0,0.41770389250647694,7
799.0,0,29.952860356955505,17,160.0,3.2653061224489797,7.4633157011184466,19.077515536384546,17,160.0,0.4576015018083049,8
800.0,1,25.139271620971755,17,177.0,3.6875,7.38139434504755,17.996776066215407,17,177.0,0.46147043382464803,9
801.0,0,21.58422294289409,17,194.0,4.041666666666667,7.323018911366219,14.484895214573745,17,194.0,0.4349176248542208,8
802.0,1,18.117130476476866,18,212.0,4.416666666666667,7.585304302052081,9.688543328550942,18,212.0,0.46475270380068634,5
803.0,2,30.50635728561562,16,198.0,4.304347826086956,7.37182553950192,18.051973283075462,16,198.0,0.45224244038090217,6
