sim_time,arrived_num,tyre_pm,stopped,total_wait,avg_wait,avg_speed
1.0,0,0.0,0,0.0,0.0,13.20830125
2.0,0,6.332645878964103,0,0.0,0.0,11.92630908064478
3.0,0,5.69817687717732,0,0.0,0.0,11.798554869744807
4.0,0,9.42072013040735,0,0.0,0.0,12.258543268971101
5.0,0,6.502232986809599,0,0.0,0.0,12.303589072583739
6.0,0,5.051950899346162,0,0.0,0.0,12.352562760335298
7.0,0,6.884708762831746,0,0.0,0.0,12.583937678627166
8.0,0,5.835789941953481,0,0.0,0.0,12.778644563802636
9.0,0,5.6216523418581765,0,0.0,0.0,12.645026040851825
10.0,0,14.340165962148426,0,0.0,0.0,11.970412851708042
11.0,0,20.996034221383773,0,0.0,0.0,10.454550741223105
12.0,0,20.652594876907706,0,0.0,0.0,9.855608561616865
13.0,0,21.39408724284085,1,1.0,0.05555555555555555,9.321957367350635
14.0,0,19.76217611603933,2,3.0,0.16666666666666666,8.420969261768576
15.0,0,17.784122873301314,5,8.0,0.4444444444444444,7.921532788310017
16.0,0,7.696270423356565,6,14.0,0.7777777777777778,7.7002391975739055
17.0,0,7.226236573257624,7,21.0,1.1666666666666667,7.394243735989495
18.0,0,8.292659720474301,7,28.0,1.5555555555555556,7.278417023840536
19.0,0,5.4740805545862825,8,36.0,2.0,7.262758025130574
20.0,1,5.408527038356341,8,44.0,2.588235294117647,6.662603465891259
21.0,0,4.74685913441724,8,52.0,3.0588235294117645,6.654715102635904
22.0,0,5.606392945070042,8,60.0,3.1578947368421053,7.260597322666791
23.0,1,12.076777694421967,8,68.0,3.4,6.706266383006017
24.0,0,12.20103322290064,8,76.0,3.8,6.3949463858383115
25.0,0,9.661655065561884,9,85.0,3.8636363636363638,6.814631378890209
26.0,2,8.467261461748716,9,94.0,4.7,6.442876529135027
27.0,0,6.671538109839197,10,104.0,5.2,6.474712546093298
28.0,0,6.754297793538798,10,114.0,5.7,6.406734479872807
29.0,0,6.553689297195072,10,124.0,6.2,6.416714925242711
30.0,0,5.8854327049807535,10,134.0,6.7,6.474680872023586
31.0,0,2.9999579499122637,10,144.0,7.2,6.4682869728370465
32.0,1,3.743110858665077,10,154.0,7.333333333333333,6.962990283290283
33.0,0,4.997144317535721,10,164.0,7.130434782608695,7.379038905141031
34.0,0,13.553344363376096,10,174.0,7.565217391304348,7.0527764821822245
35.0,0,17.995305091073625,10,184.0,8.0,6.641309988187169
36.0,1,21.332388912290416,8,155.0,7.045454545454546,6.018389405037036
37.0,1,14.35639211539345,8,141.0,5.64,7.00664355804692
38.0,1,16.006555881641553,7,147.0,5.653846153846154,7.298083660445588
39.0,0,17.108076011524833,7,154.0,5.923076923076923,7.725198737287176
40.0,0,22.105334258231704,7,161.0,6.1923076923076925,8.002067228129004
41.0,0,25.775894856865587,7,168.0,6.461538461538462,7.916439468616204
42.0,0,30.671526698409505,7,175.0,6.730769230769231,7.273067424047629
43.0,1,23.799523212101512,9,184.0,6.814814814814815,6.989967610953998
44.0,1,17.776515063239046,8,132.0,4.714285714285714,6.924615906641856
45.0,1,19.756882899991275,7,81.0,3.0,6.666655416280692
46.0,0,21.97144672916395,8,89.0,3.2962962962962963,6.7009952077686
47.0,0,24.64138589234966,8,97.0,3.5925925925925926,6.669426311558535
48.0,0,21.166961768251696,8,105.0,3.888888888888889,6.665112744207967
49.0,0,25.773660716489914,8,113.0,3.896551724137931,7.265100122540355
50.0,0,25.083928867935327,9,122.0,4.206896551724138,7.479064216185445
51.0,0,20.829604160723733,9,131.0,4.517241379310345,7.538009344712089
52.0,0,23.881752324537686,10,141.0,4.862068965517241,7.226834903025085
53.0,1,20.59037259803328,10,151.0,5.033333333333333,7.067549891791954
54.0,0,21.25501819339709,10,161.0,5.03125,6.962900911680222
55.0,2,13.821944146490408,11,172.0,5.733333333333333,6.621098566424204
56.0,0,9.827746586194948,13,185.0,6.166666666666667,6.746093236107652
57.0,1,10.863324456496114,14,199.0,6.862068965517241,6.515446911209765
58.0,2,9.93939899597173,14,213.0,7.888888888888889,5.7762933536771905
59.0,3,11.421405458246465,14,227.0,9.458333333333334,4.470162682051517
60.0,0,11.685049152863268,14,241.0,10.041666666666666,4.1055723344127335
61.0,0,14.894319339616585,14,255.0,9.807692307692308,4.66507796509122
62.0,1,18.486334057003887,16,271.0,10.84,3.6019622213729146
63.0,2,13.710128375637998,17,288.0,11.52,3.0312989121598575
64.0,0,10.814200744202687,18,306.0,11.333333333333334,3.1470087476534103
65.0,1,3.375040166239094,19,325.0,12.5,2.8363762350590873
66.0,0,3.8473572166523904,19,344.0,13.23076923076923,2.873800761735409
67.0,0,3.673967735132697,20,364.0,14.0,2.947536285072419
68.0,0,6.107303551862488,20,384.0,14.76923076923077,2.7752685306329385
69.0,0,12.524899698050364,20,404.0,15.538461538461538,2.339730634036152
70.0,0,18.61330615990018,20,424.0,16.307692307692307,1.6423885114640189
71.0,0,17.758160266642797,20,444.0,17.076923076923077,0.9593823473623732
72.0,0,13.319679069554022,22,466.0,17.923076923076923,0.4470869985333723
73.0,0,7.297413046159929,23,489.0,15.28125,2.8254721536158676
74.0,0,7.158109620424455,23,512.0,14.222222222222221,3.66304383872569
75.0,0,4.173566874952712,25,537.0,14.131578947368421,3.9398108214322036
76.0,0,6.56165819451437,26,563.0,14.81578947368421,3.8895239314716665
77.0,0,7.208491142325947,26,589.0,15.5,3.95684480177279
78.0,0,6.317893294653023,26,615.0,16.18421052631579,4.096015324920242
79.0,0,10.44057455016475,24,510.0,13.421052631578947,4.121450889739001
80.0,0,18.937674311959483,24,534.0,14.052631578947368,3.822899689604882
81.0,0,27.76736435552388,24,558.0,14.68421052631579,3.3208327644509907
82.0,0,33.04899992081129,24,582.0,15.31578947368421,2.7370410760297625
