sim_time,arrived_num,tyre_pm,stopped,total_wait,avg_wait,avg_speed
1.0,0,0.0,0,0.0,0.0,13.76221625
2.0,0,3.1348723722156144,0,0.0,0.0,12.841110294514856
3.0,0,8.788570744311441,0,0.0,0.0,12.32175824015174
4.0,0,7.2518483970033,0,0.0,0.0,12.6077762470061
5.0,0,7.2800043597485296,0,0.0,0.0,12.768881635446734
6.0,0,5.388047102535072,0,0.0,0.0,12.868924034320136
7.0,0,7.910329619441786,0,0.0,0.0,12.740539988608468
8.0,0,7.771967426448846,0,0.0,0.0,12.484083307128321
9.0,0,8.276882321670309,0,0.0,0.0,12.263027027350534
10.0,0,12.130953781907277,0,0.0,0.0,11.50999846680471
11.0,0,17.62197274523494,0,0.0,0.0,10.5514664786818
12.0,0,24.207302062850243,0,0.0,0.0,9.061751617573583
13.0,0,28.192841960518106,2,2.0,0.1111111111111111,8.20250253676585
14.0,0,23.767962051471585,2,4.0,0.2222222222222222,6.961195931654871
15.0,0,10.865463067047381,3,7.0,0.3888888888888889,6.576296370921398
16.0,0,4.046556574197918,7,14.0,0.7777777777777778,6.62249543886698
17.0,0,4.459099154923985,8,22.0,1.2222222222222223,6.687458323751801
18.0,0,5.016800272128164,8,30.0,1.6666666666666667,6.786440580987344
19.0,0,4.948327419378708,8,38.0,2.111111111111111,6.740829837437836
20.0,0,4.764477911349698,8,46.0,2.5555555555555554,6.661603384995115
21.0,0,6.64969121814898,8,54.0,3.0,6.552365202751443
22.0,0,8.971607540933825,8,62.0,3.1,7.229892898479887
23.0,0,8.464045760103915,8,70.0,3.1818181818181817,7.461291540174563
24.0,1,13.40477031627807,8,78.0,3.7142857142857144,6.768533528227747
25.0,2,9.082879137290156,9,87.0,4.142857142857143,6.987756793121101
26.0,0,13.525901170866142,9,96.0,4.571428571428571,6.918552419224424
27.0,1,5.363798636702422,10,106.0,5.3,6.651529112140352
28.0,0,4.8931789419689515,10,116.0,5.8,6.672336770414937
29.0,0,2.5532317570391485,10,126.0,6.3,6.632900162110886
30.0,0,4.869063066448165,10,136.0,6.8,6.7572507892543285
31.0,0,4.108086216259466,10,146.0,7.3,6.6228158900766605
32.0,0,5.635596441411016,10,156.0,7.090909090909091,7.320819788539566
33.0,0,14.543297228807058,10,166.0,6.916666666666667,7.334681722767285
34.0,0,15.40437219091335,10,176.0,7.333333333333333,6.950118757746115
35.0,0,16.110951334592684,10,186.0,7.75,6.541959702185164
36.0,0,15.95215207881911,9,155.0,6.458333333333333,6.448872379723579
37.0,2,14.104628957548476,8,141.0,5.423076923076923,7.078905886308827
38.0,1,16.116884893360847,6,144.0,5.333333333333333,7.198767207216177
39.0,1,19.975385213320568,7,151.0,5.8076923076923075,7.391898843820514
40.0,0,20.46169880111644,7,158.0,6.076923076923077,7.669948946332753
41.0,1,17.543716831091917,7,165.0,6.6,7.562912293301638
42.0,1,18.744288703539308,7,172.0,7.166666666666667,7.5207233473491995
43.0,0,21.233719319268957,7,179.0,6.884615384615385,7.979168712098884
44.0,0,26.310949812616578,6,123.0,4.392857142857143,7.848679623581125
45.0,0,24.182775110103613,5,70.0,2.5,7.694119607375664
46.0,1,24.533446839286057,6,76.0,2.814814814814815,7.6118067894143
47.0,0,19.228791772772574,7,83.0,3.074074074074074,7.5338492661006775
48.0,0,23.425876488406512,7,90.0,3.3333333333333335,7.366100998412057
49.0,0,21.710089828516317,7,97.0,3.3448275862068964,8.016839177088068
50.0,0,19.969213537995586,8,105.0,3.6206896551724137,8.195331691013081
51.0,2,22.080265144301165,9,114.0,4.222222222222222,7.98922158165435
52.0,0,24.24286946711157,9,123.0,4.555555555555555,7.7321793506698535
53.0,1,22.792302982844525,9,132.0,4.714285714285714,7.750007647534481
54.0,1,19.425121458987633,9,141.0,4.862068965517241,7.500391292140526
55.0,1,14.645881513336965,10,151.0,5.392857142857143,7.121280440988912
56.0,1,11.724644988250265,11,162.0,6.0,6.906207630275791
57.0,2,6.069738928783754,13,175.0,7.0,6.173175577875841
58.0,0,12.04337319663414,13,188.0,7.52,5.813959765401936
59.0,0,14.299605475318671,13,201.0,8.04,5.494652774110221
60.0,0,20.04719697959706,13,214.0,8.56,4.692785234622693
61.0,1,16.491125077027576,14,228.0,8.76923076923077,4.554197296702565
62.0,1,20.0311726058881,15,243.0,9.72,3.5707962428661686
63.0,1,11.277118941953146,15,258.0,9.923076923076923,3.7629665527489
64.0,3,9.157759863662223,16,274.0,10.96,3.003116980324679
65.0,0,4.2772328355221205,17,291.0,11.64,2.9812162025717504
66.0,0,6.309430366059976,19,310.0,12.4,3.10347672628654
67.0,0,2.7246011890064046,19,329.0,13.16,3.0407104385301125
68.0,0,2.8978480348590527,19,348.0,13.92,3.0803449738184554
69.0,0,8.79181170795886,19,367.0,14.68,2.7286725055001013
70.0,0,19.032173286536477,19,386.0,15.44,1.9673855740386423
71.0,0,23.247137341085335,19,405.0,16.2,1.037504898050483
72.0,0,18.757025068205337,19,424.0,16.96,0.2872238953222698
73.0,0,4.8161781328214035,22,446.0,14.387096774193548,2.80412416936243
74.0,0,4.736526506457912,24,470.0,13.428571428571429,3.8457142978673597
75.0,0,5.075069387342,24,494.0,13.35135135135135,4.240564919733797
76.0,0,8.54967434352919,25,519.0,14.027027027027026,4.176609361589822
77.0,0,7.131576786513704,25,544.0,14.702702702702704,4.348865405189568
78.0,0,11.321083706821167,25,569.0,15.378378378378379,4.259277050095055
79.0,0,22.561270758541,23,466.0,12.594594594594595,4.069329841360571
80.0,0,24.257664813786256,23,489.0,13.216216216216216,3.5839227768547115
81.0,0,28.3697100758014,23,512.0,13.837837837837839,3.0658320608503735
82.0,0,22.15463471736982,23,535.0,14.45945945945946,2.6912031559866154
83.0,0,18.956145628876612,25,560.0,15.135135135135135,2.435660378595064
84.0,0,17.877608877865256,28,588.0,15.076923076923077,2.761437220709767
85.0,0,19.734891781608308,29,617.0,14.348837209302326,3.3410561028087056
86.0,0,15.751246960984504,30,647.0,15.046511627906977,3.0494268015876886
87.0,0,14.97472838773606,29,586.0,13.627906976744185,2.9203107229353686
88.0,0,18.930585262098436,29,530.0,12.325581395348838,2.8057935992922918
89.0,0,25.706070187709496,27,480.0,11.162790697674419,2.699139636088637
90.0,0,29.103481652534185,25,438.0,10.186046511627907,2.626072526667958
91.0,0,28.544846676736842,23,401.0,9.325581395348838,2.7763275596719215
92.0,0,25.611344076133374,23,370.0,8.604651162790697,3.0914432435144303
93.0,0,32.684117455028705,21,344.0,8.0,3.3472319122494167
94.0,1,29.331626776675442,21,324.0,7.363636363636363,3.9388902072662755
95.0,0,32.246068175338614,21,326.0,7.086956521739131,4.665150199190043
96.0,2,37.02298373905842,20,333.0,7.568181818181818,4.750546281909686
97.0,1,36.5518771384973,18,325.0,7.222222222222222,5.105743620155049
98.0,0,38.17040371503532,17,322.0,7.155555555555556,5.205437133948828
99.0,0,39.94362392252934,15,325.0,7.222222222222222,5.4067057132103775
100.0,0,29.932044612943894,15,334.0,7.4222222222222225,5.695263155584533
101.0,1,26.828222239830687,14,347.0,7.886363636363637,5.90758423345379
102.0,1,25.402594200582545,14,361.0,8.395348837209303,6.074629385718141
103.0,2,24.50352218689416,14,375.0,9.146341463414634,6.198923516800921
104.0,0,30.327887955991187,14,389.0,9.046511627906977,6.934478071415589
105.0,1,31.240482891494825,14,403.0,9.159090909090908,7.146441763109599
106.0,1,43.35366598216034,14,417.0,9.69767441860465,7.107665076917041
107.0,2,31.732653689121538,14,431.0,10.512195121951219,6.829522806277719
108.0,1,21.02523779557401,16,447.0,11.175,6.954520694832868
109.0,1,18.99173889343845,16,463.0,10.767441860465116,7.687042818586998
110.0,1,18.44750130772199,16,479.0,10.886363636363637,7.904500282978586
111.0,1,18.779490195745574,16,495.0,11.511627906976743,7.9208054505845835
112.0,1,18.287084963839938,16,511.0,12.166666666666666,7.990946744597644
113.0,0,16.219577704303404,16,527.0,12.547619047619047,8.21966790136922
114.0,0,10.149239024242117,16,543.0,12.928571428571429,8.207206152171894
115.0,3,12.43643342854379,16,559.0,13.634146341463415,8.081583911866327
116.0,2,16.3361101692422,16,575.0,14.024390243902438,7.8178319069004845
117.0,2,15.596453811275389,16,591.0,15.153846153846153,7.225056336081007
118.0,1,23.731879443661036,16,607.0,15.973684210526315,6.721362007596252
119.0,0,20.533673353070434,18,625.0,16.44736842105263,6.478969714398457
120.0,2,23.334278612778412,18,643.0,17.86111111111111,5.565046450029365
121.0,1,20.799485322077658,19,662.0,17.89189189189189,5.36915465608499
122.0,1,18.210052616124575,18,537.0,14.916666666666666,5.009504299757725
123.0,1,16.190403115889364,17,431.0,12.314285714285715,4.90440716233107
124.0,1,15.59120364790985,16,346.0,10.176470588235293,4.791971522797735
125.0,0,20.07556079257665,15,279.0,7.75,5.624370968743871
126.0,2,29.178652587665695,13,233.0,6.472222222222222,5.591570839270771
127.0,0,43.57869715131893,12,207.0,5.75,5.393999657351037
128.0,3,40.12676694724618,11,200.0,6.0606060606060606,4.520619155112774
129.0,0,33.97132538814337,11,211.0,6.393939393939394,4.410829170254022
130.0,0,26.910023041487268,10,134.0,4.0606060606060606,4.632818836919982
131.0,0,26.788605747778973,10,58.0,1.7575757575757576,4.794983822989445
132.0,0,23.690032390324184,10,48.0,1.4545454545454546,4.898913306931063
133.0,0,36.142544092106526,8,37.0,1.0571428571428572,5.396666468941389
134.0,0,41.46447014855876,9,46.0,1.3142857142857143,5.145363984187913
135.0,1,40.29352911948822,11,57.0,1.5833333333333333,5.163744793055418
136.0,0,30.535075210187696,12,69.0,1.8157894736842106,5.438098600079655
137.0,1,22.646888836381812,15,84.0,2.27027027027027,5.34433797942489
138.0,1,19.738700018952777,17,101.0,2.8055555555555554,5.514139943622962
139.0,1,13.6286422074137,18,119.0,3.4,5.303493078185545
140.0,0,16.539692688041765,20,139.0,3.9714285714285715,5.066113332971473
141.0,1,13.137856786318606,20,159.0,4.676470588235294,4.655328302505858
