sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed
1.0,0,0.0,0,0.0,0.0,13.79019
2.0,0,4.395623990986495,0,0.0,0.0,12.400547518395973
3.0,0,7.667615765379743,0,0.0,0.0,11.996141602616136
4.0,0,9.135045705780367,0,0.0,0.0,12.342236928941526
5.0,0,7.302377511195743,0,0.0,0.0,12.656118366185877
6.0,0,3.8378170755074876,0,0.0,0.0,12.612214518942727
7.0,0,6.7607181698314065,0,0.0,0.0,12.484267766254554
8.0,0,5.110850183206548,0,0.0,0.0,12.430477526322464
9.0,0,3.637155540964196,0,0.0,0.0,12.496564884610358
10.0,0,11.27252719385226,0,0.0,0.0,11.864570132302584
11.0,0,20.77496159555418,0,0.0,0.0,10.465766908214711
12.0,0,26.536578012269196,0,0.0,0.0,8.839395349021952
13.0,0,30.889119432941996,0,0.0,0.0,7.814347682414567
14.0,0,18.717653478568913,3,3.0,0.16666666666666666,7.0572362177471994
15.0,0,10.151049782561657,5,8.0,0.4444444444444444,6.962233064164353
16.0,0,11.065359804304816,6,14.0,0.7777777777777778,6.834540343954448
17.0,0,7.348729587180284,7,21.0,1.1666666666666667,6.7693904686498
18.0,0,4.610670364150724,8,29.0,1.6111111111111112,6.668255455943858
19.0,0,4.245413255880256,8,37.0,2.0555555555555554,6.686108847050096
20.0,0,2.5547139107275076,8,45.0,2.5,6.783451291297887
21.0,0,5.0368824239295185,8,53.0,2.9444444444444446,6.680892581323047
22.0,0,9.305404493545234,8,61.0,3.05,7.308101901853982
23.0,1,10.760053707229082,8,69.0,3.2857142857142856,7.095593805895429
24.0,1,12.405058214256002,8,77.0,3.85,6.344559562207955
25.0,0,11.12561424747172,8,85.0,3.8636363636363638,6.805435594988142
26.0,0,11.0638691109752,9,94.0,4.2727272727272725,6.691089229849337
27.0,1,5.518982357510368,10,104.0,4.9523809523809526,6.632954240268565
28.0,0,5.093194769685204,10,114.0,5.428571428571429,6.821504564975105
29.0,1,5.190943013876929,10,124.0,6.2,6.579946017798872
30.0,0,3.309473172378137,10,134.0,6.7,6.526839272594991
31.0,0,3.1081627721163025,10,144.0,7.2,6.569695494107367
32.0,0,2.9776641206658727,10,154.0,7.0,7.310150332076453
33.0,0,9.225886261858975,10,164.0,6.833333333333333,7.3060020608303375
34.0,0,12.249478486225597,10,174.0,7.25,6.985299295862235
35.0,1,14.205430943447961,10,184.0,8.0,6.455590012205054
36.0,1,13.056652973374733,8,150.0,6.818181818181818,6.153773978618105
37.0,0,13.799588963960941,8,137.0,5.269230769230769,7.558653801532472
38.0,1,17.15002261914052,6,141.0,5.222222222222222,7.670417252223759
39.0,0,18.778263935663112,6,147.0,5.444444444444445,8.10453508851619
40.0,0,18.24355512921315,6,153.0,5.666666666666667,8.558619667139368
41.0,1,18.710718835970315,6,159.0,6.115384615384615,8.746473747267279
42.0,0,23.52025145335672,6,165.0,6.346153846153846,8.819729859740534
43.0,1,21.208226002500098,6,171.0,6.333333333333333,8.750273478106793
44.0,1,26.728274641650014,4,116.0,4.142857142857143,8.475307264508055
45.0,1,27.760945695621672,3,64.0,2.3703703703703702,8.233243287729547
46.0,1,30.7352248435539,3,67.0,2.576923076923077,8.009064425459295
47.0,0,32.7225981711682,4,71.0,2.730769230769231,7.762131883315813
48.0,0,26.063281594199307,5,76.0,2.923076923076923,7.627104106478749
49.0,0,21.0713714304119,5,81.0,2.892857142857143,8.488208492228564
50.0,1,14.263453022851406,7,88.0,3.259259259259259,8.35050922872742
51.0,0,13.815094413960036,8,96.0,3.5555555555555554,8.42400013018659
