sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed
1.0,0,0.0,0,0.0,0.0,13.643371250000001
2.0,0,5.545847080112436,0,0.0,0.0,12.071401872563648
3.0,0,6.702650355338122,0,0.0,0.0,11.722583450099691
4.0,0,7.533579039697884,0,0.0,0.0,12.325220586973373
5.0,0,6.27478762871738,0,0.0,0.0,12.490314519551077
6.0,0,5.099881120663499,0,0.0,0.0,12.709649608423218
7.0,0,6.934503641294533,0,0.0,0.0,12.911848069725961
8.0,0,6.354543011596245,0,0.0,0.0,12.849181327207534
9.0,0,7.387370926463541,0,0.0,0.0,12.649458575849964
10.0,0,10.030824060289437,0,0.0,0.0,12.17371016604428
11.0,0,24.660011513874288,0,0.0,0.0,10.45108542574056
12.0,0,29.10029434856844,0,0.0,0.0,8.829661372844244
13.0,0,26.52364132794397,0,0.0,0.0,8.139757502532438
14.0,0,23.084524073155784,1,1.0,0.05555555555555555,7.173554195710011
15.0,0,11.900144118297618,3,4.0,0.2222222222222222,6.906863526327834
16.0,0,6.468391102548254,6,10.0,0.5555555555555556,6.9673761617323855
17.0,0,4.687543745212241,8,18.0,1.0,7.028061233873985
18.0,0,6.775519108030742,8,26.0,1.4444444444444444,7.003450849817853
19.0,0,3.494587408195136,8,34.0,1.8888888888888888,6.999599512309021
20.0,0,2.757651209175211,8,42.0,2.3333333333333335,7.0885984700755555
21.0,0,5.378633779937031,8,50.0,2.7777777777777777,7.035815846110867
22.0,0,8.78597113511413,8,58.0,2.9,7.5808564661118085
23.0,0,10.764258026113659,8,66.0,3.0,7.584844187203753
24.0,1,14.79557282152448,8,74.0,3.5238095238095237,6.550638167527238
25.0,3,8.070708047240252,9,83.0,4.15,6.395667209712919
26.0,0,7.7120767163115005,10,93.0,4.65,6.568350769882217
27.0,0,7.093572166450187,10,103.0,5.15,6.5802808117604545
28.0,0,3.2479748067337066,10,113.0,5.65,6.547187733883062
29.0,0,5.193320327731583,10,123.0,6.15,6.603367240445377
30.0,0,5.266520128012758,10,133.0,6.65,6.680424007126976
31.0,0,4.957651360732424,10,143.0,7.15,6.744750213918605
32.0,0,8.336760767939523,10,153.0,6.954545454545454,7.02790802324317
33.0,0,13.150136365355971,10,163.0,6.791666666666667,6.886440059249982
34.0,0,16.47654196063929,10,173.0,7.208333333333333,6.470232000270954
35.0,0,18.30495698064849,10,183.0,7.625,5.962898193706859
36.0,0,12.86170022482142,9,151.0,6.291666666666667,5.937634972554825
37.0,2,12.977245793285068,8,136.0,5.230769230769231,7.079547297371746
38.0,2,15.86450355391399,7,140.0,5.384615384615385,7.490595693463096
39.0,0,18.736200914024607,7,147.0,5.653846153846154,7.909251212543595
40.0,0,17.26386665090893,7,154.0,5.923076923076923,8.28146914416849
41.0,0,16.481138237432635,7,161.0,6.1923076923076925,8.677241768451536
42.0,1,21.017425604829995,7,168.0,6.72,8.554403950316086
43.0,0,20.496471705190373,7,175.0,6.481481481481482,8.674685090071534
44.0,0,35.905795073212154,5,123.0,4.241379310344827,8.239262878343444
45.0,1,36.84903555409279,5,72.0,2.5714285714285716,7.797995331672472
46.0,1,31.9297070281692,5,77.0,2.8518518518518516,7.418368557923629
47.0,0,25.728836316789945,6,83.0,3.074074074074074,7.183772746005987
48.0,0,24.296282969051795,7,90.0,3.3333333333333335,7.29537913012645
49.0,0,25.07028463977685,7,97.0,3.3448275862068964,7.957926925460488
50.0,1,21.764981853167583,7,104.0,3.7142857142857144,7.96889302188318
51.0,0,22.02851467145514,8,112.0,4.0,8.226920067590607
52.0,1,24.541475141103632,9,121.0,4.481481481481482,7.928815991812978
53.0,1,18.351507087477525,9,130.0,4.642857142857143,8.066669031548171
54.0,1,19.428012674240755,9,139.0,4.793103448275862,7.674885646868917
55.0,1,17.3296135782405,10,149.0,5.321428571428571,7.171552235062188
56.0,1,11.056197870164084,10,159.0,5.888888888888889,6.974034304191746
57.0,1,7.74612887308024,11,170.0,6.538461538461538,6.7335983482245885
58.0,1,10.073384236321193,12,182.0,7.28,6.159569673317822
59.0,1,15.714784894546117,13,195.0,8.125,5.420218847914892
60.0,2,16.204189336723054,13,208.0,9.454545454545455,3.944408034687052
61.0,1,16.579244284380323,13,221.0,9.608695652173912,3.6588904802452906
62.0,0,11.85056484950624,14,235.0,10.217391304347826,3.165999494664356
63.0,2,12.451334950980215,16,251.0,10.91304347826087,2.798636318173558
64.0,0,7.506219197362371,16,267.0,10.68,3.1331377732116072
65.0,0,5.398484395998839,17,284.0,11.36,3.0023343690715993
66.0,0,6.744963788617568,18,302.0,12.08,3.0192360852325533
67.0,0,1.5693021752371359,18,320.0,12.8,3.0058028402299453
68.0,0,4.555902545592328,19,339.0,13.56,3.100032441580763
69.0,0,11.018755067770996,19,358.0,14.32,2.7829784354450866
70.0,0,21.916057255061897,19,377.0,15.08,1.9063361452426109
71.0,0,22.022241881512816,19,396.0,15.84,1.0254464699820982
72.0,0,18.061524598240077,20,416.0,16.64,0.3029854860524952
73.0,0,5.689390732753116,21,437.0,14.096774193548388,2.6015550457599765
74.0,0,4.5983930829301105,24,461.0,13.17142857142857,3.5357902392632874
75.0,0,6.976912229127255,25,486.0,13.135135135135135,3.797747823333026
76.0,0,8.46716382138715,25,511.0,13.81081081081081,3.810112588650749
77.0,0,8.611876918350948,25,536.0,14.486486486486486,3.8774794577241978
78.0,0,7.2029072266041725,25,561.0,15.162162162162161,3.9729666170197433
79.0,0,13.294222442553199,23,456.0,12.324324324324325,3.862208952655807
80.0,0,18.708615459513034,23,479.0,12.945945945945946,3.699086927917247
81.0,0,19.921568666994766,23,502.0,13.567567567567568,3.454065645409172
82.0,0,27.710992197721332,24,526.0,14.216216216216216,3.069628060354868
83.0,0,28.15343993349232,24,550.0,14.864864864864865,2.5807097704901687
84.0,0,24.2899764656781,25,575.0,14.743589743589743,2.655894105014853
85.0,0,25.68700900690837,27,602.0,14.0,2.9633812843989067
86.0,0,21.370670239024232,28,630.0,14.651162790697674,2.600775642527409
87.0,0,14.763446976471755,28,567.0,13.186046511627907,2.5668101792710947
88.0,0,16.153903899506044,28,512.0,11.906976744186046,2.7395004228083906
89.0,0,21.89754816111002,26,462.0,10.744186046511627,2.709676740253538
90.0,0,28.747643133249824,26,423.0,9.837209302325581,2.6552510527798656
91.0,0,29.50684561376508,24,390.0,9.069767441860465,2.6758732789402893
92.0,0,26.881436794892625,23,360.0,8.372093023255815,2.960718669693024
93.0,1,26.862496594263156,23,335.0,7.976190476190476,3.0216500903090506
94.0,1,25.932129686008253,22,316.0,7.348837209302325,3.773950216432637
95.0,1,26.527979959393335,21,306.0,6.954545454545454,4.303374888700326
96.0,0,28.824054306603998,20,316.0,7.181818181818182,4.600080389036164
97.0,0,40.25063588179512,18,314.0,6.826086956521739,5.013889119615417
98.0,0,43.15938946500938,17,317.0,6.891304347826087,5.013553826665283
99.0,0,40.096472545110124,15,320.0,6.956521739130435,5.033933438972292
100.0,0,31.101310165402396,16,330.0,7.173913043478261,5.3437395504424305
101.0,1,27.86099821695798,16,345.0,7.666666666666667,5.670953165949959
102.0,2,30.12920827021722,15,359.0,8.348837209302326,5.771008563626281
103.0,0,28.33523197873874,15,374.0,8.69767441860465,6.21092564094692
104.0,2,25.84500200426008,15,389.0,9.046511627906977,6.518174253375625
105.0,1,28.63133308490715,15,404.0,9.181818181818182,6.763383668172765
106.0,1,31.427165685182132,15,419.0,9.744186046511627,6.470234181110471
107.0,0,31.818784146508666,16,435.0,10.116279069767442,6.403244546477771
108.0,0,20.145238719381375,16,451.0,10.488372093023257,6.434057847198217
109.0,1,14.008769046598022,16,467.0,10.152173913043478,7.075316963118534
110.0,2,20.271273352922506,17,484.0,10.521739130434783,7.080720092835369
111.0,1,18.407212445371563,17,501.0,11.133333333333333,7.027005163510347
112.0,0,21.352694158264395,17,518.0,11.511111111111111,7.309018768489212
113.0,2,14.324516347960559,17,535.0,12.44186046511628,7.2463251344454696
114.0,1,17.343844234528817,17,552.0,13.142857142857142,7.296057497225628
115.0,3,23.515771868870115,17,569.0,13.878048780487806,7.292733803301985
116.0,0,21.801303218824476,17,586.0,13.627906976744185,7.368749986197342
117.0,0,21.545656151738,17,603.0,14.023255813953488,7.1803281194642805
118.0,2,20.97270266705835,17,620.0,15.121951219512194,6.708364389363315
119.0,0,23.128857377316628,19,639.0,15.585365853658537,6.395817292289686
120.0,1,24.094801247088377,19,658.0,16.45,5.918702885293183
121.0,0,19.71890197469554,19,677.0,16.11904761904762,6.0205400155679065
122.0,1,18.198675546767486,18,554.0,13.512195121951219,5.841570081677118
123.0,1,19.96843253855401,17,450.0,11.25,5.698441016662608
124.0,2,24.094153829207002,16,366.0,9.631578947368421,5.585045351170983
125.0,2,30.67324266868189,15,303.0,7.973684210526316,5.609173587400616
126.0,1,37.238554759772306,13,259.0,6.641025641025641,5.666524321300235
127.0,1,41.69969883128093,12,234.0,6.157894736842105,5.450998084525582
128.0,2,38.39841797550673,10,226.0,6.277777777777778,5.085574200410991
129.0,0,34.695838006856924,11,237.0,6.583333333333333,5.3918894012551695
130.0,2,33.39805708037765,11,163.0,4.794117647058823,5.017752601454245
131.0,1,29.718854079627395,9,88.0,2.6666666666666665,4.975564748260219
132.0,0,29.761698602448934,8,77.0,2.3333333333333335,5.086884170692317
133.0,0,30.59809402077739,7,67.0,1.9142857142857144,5.906074964324363
134.0,0,29.007717320855033,8,75.0,2.142857142857143,6.0373578621674415
135.0,0,31.207662238045753,9,84.0,2.27027027027027,6.734606853297284
136.0,1,32.68167116862912,10,94.0,2.473684210526316,6.7295174856667925
137.0,0,34.61317044507687,12,106.0,2.789473684210526,6.607697773511856
138.0,2,25.733641397833768,12,118.0,3.2777777777777777,6.206604240646524
139.0,1,18.532130748245756,16,134.0,3.8285714285714287,5.972201424113683
140.0,1,18.995214025789693,18,152.0,4.470588235294118,5.690213644137728
141.0,1,16.63049389187713,18,170.0,5.151515151515151,5.024871477071328
142.0,0,17.746117217853012,19,189.0,5.7272727272727275,4.540243905491659
143.0,1,13.651692145043041,21,210.0,6.5625,3.882150011536483
144.0,0,18.885639416717265,21,231.0,7.21875,3.381705338643499
145.0,2,10.30830817541282,21,252.0,7.0,4.3680870566854715
146.0,1,11.049162608943483,22,274.0,7.0256410256410255,4.739184022514819
147.0,0,9.138736545368035,23,297.0,7.2439024390243905,4.899665398993463
148.0,2,7.549305881405211,23,320.0,8.205128205128204,4.486599577830896
149.0,1,5.201526250347786,25,345.0,9.078947368421053,4.272830732630093
150.0,0,8.127072881429791,25,370.0,9.736842105263158,4.2815372324490895
151.0,1,10.491877434619898,25,395.0,10.675675675675675,4.030040579423881
152.0,0,14.68676090835741,25,420.0,11.35135135135135,3.8245653703417166
153.0,0,23.796574387902204,25,445.0,12.027027027027026,3.263661706589222
154.0,0,26.06601904457353,26,471.0,12.72972972972973,2.637709286837883
155.0,0,21.570792110267746,26,497.0,13.432432432432432,2.104455456517989
156.0,0,12.233222800674765,29,526.0,13.487179487179487,2.359434524623867
157.0,0,11.69225884047303,30,556.0,12.930232558139535,3.103556718362715
158.0,0,10.857024012571873,32,588.0,13.674418604651162,2.9124300186588448
159.0,0,8.028898860412118,32,620.0,14.418604651162791,2.974623308458283
160.0,0,4.6721057346352834,33,653.0,15.186046511627907,2.976280624099469
161.0,0,6.89629540810213,33,686.0,15.953488372093023,2.897660615745407
162.0,0,11.878632273048481,33,719.0,16.72093023255814,2.739873833352826
163.0,0,20.22423747924132,33,752.0,17.488372093023255,2.269547746999156
164.0,0,22.87476874776857,33,785.0,18.25581395348837,1.7794977304474313
165.0,0,20.6143662475057,32,737.0,17.13953488372093,1.5338931617558353
166.0,1,11.978174120957767,34,762.0,17.318181818181817,1.8002840583882114
167.0,0,8.582700520592601,34,796.0,17.304347826086957,2.20337611615304
168.0,2,9.433896059415051,36,832.0,18.90909090909091,1.755935060297891
169.0,1,10.064459696905676,36,868.0,19.288888888888888,2.2665337875058045
170.0,0,12.742572382219024,36,904.0,20.08888888888889,2.2880061346298812
171.0,0,15.439163021158047,36,940.0,20.88888888888889,2.115129557172814
172.0,0,13.102610373547437,36,976.0,21.68888888888889,1.8648833112994323
173.0,0,20.751876563866958,35,921.0,20.466666666666665,1.5583529079896334
174.0,0,20.849641611520724,33,866.0,19.244444444444444,1.4340268530309368
175.0,0,19.724874786864152,32,826.0,18.355555555555554,1.3788679266223698
176.0,0,22.653583449009645,31,787.0,16.74468085106383,2.0144908744199332
177.0,0,20.61106103725467,31,757.0,15.448979591836734,2.5339889379835965
178.0,0,21.066508735458797,30,729.0,14.877551020408163,2.87259260965568
179.0,0,31.793152710026124,28,711.0,14.510204081632653,3.152312465575536
180.0,1,38.42781646760213,26,693.0,14.4375,3.0941858296045006
181.0,0,39.843101920121505,24,686.0,13.192307692307692,4.032468302133927
182.0,1,34.00222570718456,22,678.0,12.79245283018868,4.275015418489294
183.0,0,31.6737947526436,21,689.0,13.0,4.7030087334909965
184.0,1,28.937449245226226,21,693.0,13.326923076923077,4.924354631952722
185.0,0,33.14492189501307,20,704.0,13.538461538461538,5.256502823596349
186.0,0,35.22931231619417,19,720.0,13.846153846153847,5.458582104764369
187.0,1,35.52653819211301,18,737.0,13.90566037735849,5.712720185011523
188.0,1,35.2243545780542,18,755.0,13.981481481481481,6.068598549243445
189.0,1,37.91055630023481,18,773.0,14.584905660377359,6.114998335487659
190.0,1,39.85406567650226,20,793.0,15.25,6.073840566585847
191.0,0,30.35491702966835,20,813.0,15.634615384615385,6.1664183115376305
192.0,0,33.797709511267826,20,833.0,16.01923076923077,6.242401032843113
193.0,2,38.85225771851605,20,853.0,16.403846153846153,6.240535387670349
194.0,2,38.36722717188669,20,873.0,17.46,5.96194490246457
195.0,1,31.703856244804573,21,894.0,18.244897959183675,6.031636254760518
196.0,1,21.824149169027137,22,916.0,19.083333333333332,5.877303888517575
197.0,1,18.841639285329787,22,938.0,19.142857142857142,6.175637606564477
198.0,1,26.436680743493046,23,961.0,19.22,6.2319451773876855
199.0,1,18.855643609279323,24,985.0,20.102040816326532,5.927208547870752
200.0,2,16.96598570243173,25,1010.0,21.48936170212766,5.663774124712739
201.0,1,11.216143642354824,25,1035.0,22.5,5.590750334235857
202.0,0,12.543087181436114,26,1061.0,23.065217391304348,5.5884897363022
203.0,2,11.885396223430407,26,1087.0,24.704545454545453,5.184329411868247
204.0,0,10.363002573537702,26,1113.0,25.295454545454547,5.24541841210717
205.0,1,6.740954240826798,26,1139.0,25.31111111111111,5.503411661388989
206.0,1,9.43055250261288,26,1165.0,26.477272727272727,5.3123144001434985
