sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed
54.0,1,12.94561161464262,8,122.0,4.518518518518518,8.129284770432339
55.0,1,15.985230700064504,8,130.0,5.0,7.538885416377689
56.0,0,19.021427464254895,8,138.0,5.3076923076923075,7.32735764138419
57.0,0,10.447230572413451,10,148.0,5.6923076923076925,7.204351107478597
58.0,2,15.16996249168006,10,158.0,6.583333333333333,6.279134015187584
59.0,0,17.499315164018128,12,170.0,7.083333333333333,5.81208234379019
60.0,1,13.864608396802543,12,182.0,7.913043478260869,5.057534149848363
61.0,2,15.683835370336267,12,194.0,8.434782608695652,4.4742324558202915
62.0,1,12.436439278261616,13,207.0,9.409090909090908,3.6241957638672346
63.0,0,12.40765128553674,15,222.0,9.25,4.256863606723597
64.0,1,9.360985768753633,15,237.0,9.48,4.111256698811406
65.0,0,9.908712736590955,16,253.0,10.12,3.845578423867756
66.0,1,7.227638463329427,17,270.0,11.25,3.5750221513337457
67.0,0,4.6321553002281854,17,287.0,11.958333333333334,3.3958743496517947
68.0,0,4.850677875006796,17,304.0,12.666666666666666,3.2743344362825986
69.0,0,17.398160811846523,18,322.0,13.416666666666666,2.64863017210743
70.0,0,21.65513091043321,18,340.0,14.166666666666666,1.7463330508393795
71.0,0,22.552917473505502,18,358.0,14.916666666666666,0.8066281561099835
72.0,0,11.114793442099138,19,377.0,15.708333333333334,0.3435117626891861
73.0,0,5.045921604340961,20,397.0,13.233333333333333,3.01458469000665
74.0,0,6.187895347103335,23,420.0,12.352941176470589,3.946436229579848
75.0,0,2.914977630532303,24,444.0,12.333333333333334,4.366785031297081
76.0,0,6.370408664189361,24,468.0,13.0,4.3701570927258535
77.0,0,6.256798702347883,24,492.0,13.666666666666666,4.390490141846889
78.0,0,6.043261782865104,24,516.0,14.333333333333334,4.32389989493731
79.0,0,13.09290092456695,22,409.0,11.36111111111111,4.24801036787101
80.0,0,27.24564353866812,22,431.0,11.972222222222221,3.862104810835883
81.0,0,28.99971904804744,22,453.0,12.583333333333334,3.30319520388646
82.0,0,27.89147031792934,22,475.0,13.194444444444445,2.8420398713702
83.0,0,21.787389948986558,23,498.0,13.833333333333334,2.491074867956786
84.0,0,18.469659934735944,26,524.0,13.789473684210526,2.8497034794062053
85.0,0,18.601848792647186,28,552.0,13.142857142857142,3.3632034025581357
86.0,0,19.787962370282735,29,581.0,13.833333333333334,3.0909500979866245
87.0,0,12.436343621745337,28,526.0,12.523809523809524,3.134347435591885
88.0,0,20.328993492857386,28,475.0,11.30952380952381,3.101862160993579
89.0,0,27.71350828225903,26,437.0,10.404761904761905,2.9804549521457417
90.0,0,28.532094915102476,24,399.0,9.5,2.937293744738096
91.0,0,24.65841852892767,23,368.0,8.761904761904763,3.0827767955364362
92.0,0,24.204754509502592,21,340.0,8.095238095238095,3.3404812795517165
93.0,1,25.79105355711926,21,321.0,7.829268292682927,3.383907536128694
94.0,0,28.238702995145463,20,302.0,7.023255813953488,4.1917923635214756
95.0,1,25.364591567317518,18,297.0,6.75,4.429049822362033
96.0,2,28.268919127215288,17,291.0,6.928571428571429,4.348916780329729
97.0,0,29.184627588970663,16,303.0,6.886363636363637,5.278094495543016
98.0,0,35.27828845632217,15,307.0,6.9772727272727275,5.5815239282961135
99.0,0,34.54486802325032,14,315.0,7.159090909090909,5.551778368520625
100.0,0,32.29539252706166,14,329.0,7.4772727272727275,5.718078334418547
101.0,1,33.64904070509348,14,343.0,7.976744186046512,5.82622721745976
102.0,3,29.608543601414944,14,357.0,8.925,5.760657712659949
103.0,0,30.998687755245598,14,371.0,9.275,6.211919614087823
104.0,0,34.2857731992927,14,385.0,9.166666666666666,6.672861711468284
105.0,0,31.275420047347893,14,399.0,9.068181818181818,6.9523176906026976
106.0,2,29.042861462768535,14,413.0,9.833333333333334,6.892390550380539
107.0,0,25.609946755262328,15,428.0,10.19047619047619,7.062415294266863
108.0,2,15.69380280107855,16,444.0,11.1,6.863439316742817
109.0,0,14.613638394900384,16,460.0,10.454545454545455,7.479713616674653
110.0,0,20.033920917809777,16,476.0,10.347826086956522,7.681995786545378
111.0,1,14.840995640761667,16,492.0,10.933333333333334,7.5565959818113635
112.0,1,17.03159083828647,16,508.0,11.545454545454545,7.710211079602683
113.0,2,18.173855501149948,16,524.0,12.476190476190476,7.335325721704116
114.0,1,16.62694700205782,16,540.0,13.170731707317072,7.433878848305943
115.0,1,12.827535899502662,16,556.0,13.238095238095237,7.772566666068669
116.0,3,17.1714463563698,16,572.0,13.951219512195122,7.533334689133434
117.0,2,29.327975559310847,16,588.0,15.076923076923077,6.913908788202461
